C0-I	C1-I
TRINITY_DN10389_c1_g2_i3	TRINITY_DN10406_c1_g1_i9
TRINITY_DN1038_c0_g1_i3	TRINITY_DN10407_c1_g1_i5
TRINITY_DN1038_c0_g2_i1	TRINITY_DN1040_c1_g1_i1
TRINITY_DN10399_c0_g1_i1	TRINITY_DN104119_c0_g3_i1
TRINITY_DN1039_c1_g3_i1	TRINITY_DN104119_c0_g5_i1
TRINITY_DN103_c0_g2_i4	TRINITY_DN10411_c1_g1_i4
TRINITY_DN10407_c1_g1_i1	TRINITY_DN10411_c1_g1_i6
TRINITY_DN1040_c0_g3_i1	TRINITY_DN104125_c0_g1_i3
TRINITY_DN1040_c2_g1_i1	TRINITY_DN10412_c0_g1_i1
TRINITY_DN10413_c0_g1_i1	TRINITY_DN10415_c1_g1_i2
TRINITY_DN1041_c0_g1_i3	TRINITY_DN10441_c0_g3_i1
TRINITY_DN1041_c0_g2_i1	TRINITY_DN1044_c0_g1_i1
TRINITY_DN1041_c0_g2_i2	TRINITY_DN1044_c0_g1_i2
TRINITY_DN1041_c1_g2_i1	TRINITY_DN10457_c0_g1_i2
TRINITY_DN10428_c1_g1_i1	TRINITY_DN10458_c3_g1_i1
TRINITY_DN10448_c0_g1_i1	TRINITY_DN10459_c0_g1_i2
TRINITY_DN10452_c0_g1_i1	TRINITY_DN1045_c3_g1_i3
TRINITY_DN10466_c0_g1_i2	TRINITY_DN1046_c1_g2_i1
TRINITY_DN10466_c0_g1_i5	TRINITY_DN10474_c0_g1_i3
TRINITY_DN10466_c2_g1_i1	TRINITY_DN1047_c0_g1_i13
TRINITY_DN10469_c0_g1_i1	TRINITY_DN10481_c0_g1_i5
TRINITY_DN1046_c2_g1_i6	TRINITY_DN10483_c0_g1_i3
TRINITY_DN10471_c0_g1_i2	TRINITY_DN1048_c0_g2_i4
TRINITY_DN1047_c11_g1_i2	TRINITY_DN1048_c0_g4_i3
TRINITY_DN1047_c1_g1_i1	TRINITY_DN10491_c0_g2_i2
TRINITY_DN10489_c0_g1_i2	TRINITY_DN1049_c2_g1_i1
TRINITY_DN1048_c0_g4_i5	TRINITY_DN104_c13_g1_i1
TRINITY_DN10490_c0_g1_i1	TRINITY_DN104_c1_g3_i1
TRINITY_DN104_c1_g2_i11	TRINITY_DN1053_c1_g1_i1
TRINITY_DN104_c1_g2_i12	TRINITY_DN1053_c2_g1_i1
TRINITY_DN10500_c2_g1_i3	TRINITY_DN10550_c0_g1_i6
TRINITY_DN1050_c0_g3_i4	TRINITY_DN10559_c0_g1_i2
TRINITY_DN10528_c0_g1_i1	TRINITY_DN10573_c0_g1_i2
TRINITY_DN10530_c0_g1_i1	TRINITY_DN10584_c0_g1_i1
TRINITY_DN10530_c0_g2_i2	TRINITY_DN10584_c2_g1_i2
TRINITY_DN10548_c0_g1_i3	TRINITY_DN105852_c0_g1_i3
TRINITY_DN1054_c0_g1_i9	TRINITY_DN10595_c0_g1_i1
TRINITY_DN10557_c0_g1_i9	TRINITY_DN10596_c0_g1_i1
TRINITY_DN10558_c0_g3_i1	TRINITY_DN105_c0_g1_i2
TRINITY_DN1055_c0_g3_i1	TRINITY_DN105_c0_g3_i1
TRINITY_DN10563_c0_g3_i1	TRINITY_DN1060_c0_g1_i1
TRINITY_DN10564_c0_g1_i2	TRINITY_DN10638_c0_g1_i1
TRINITY_DN10564_c0_g1_i5	TRINITY_DN10652_c0_g2_i2
TRINITY_DN10566_c0_g2_i3	TRINITY_DN1065_c0_g1_i14
TRINITY_DN10566_c0_g2_i6	TRINITY_DN10664_c0_g1_i1
TRINITY_DN10576_c0_g1_i1	TRINITY_DN10664_c2_g1_i2
TRINITY_DN105933_c0_g1_i1	TRINITY_DN10669_c0_g1_i7
TRINITY_DN105_c0_g1_i4	TRINITY_DN106724_c0_g1_i2
TRINITY_DN105_c0_g2_i1	TRINITY_DN10676_c1_g3_i1
TRINITY_DN10601_c0_g1_i2	TRINITY_DN10676_c1_g3_i2
TRINITY_DN1062_c0_g3_i6	TRINITY_DN1067_c2_g1_i4
TRINITY_DN1062_c0_g4_i1	TRINITY_DN106956_c0_g1_i1
TRINITY_DN10633_c1_g1_i2	TRINITY_DN106975_c1_g1_i1
TRINITY_DN10638_c0_g1_i3	TRINITY_DN107148_c0_g1_i12
TRINITY_DN10646_c0_g1_i13	TRINITY_DN107148_c0_g1_i15
TRINITY_DN10676_c1_g1_i1	TRINITY_DN1071_c0_g5_i1
TRINITY_DN10677_c0_g1_i2	TRINITY_DN10739_c1_g1_i1
TRINITY_DN10677_c0_g1_i4	TRINITY_DN107565_c0_g2_i1
TRINITY_DN1067_c2_g1_i3	TRINITY_DN1075_c1_g3_i1
TRINITY_DN10682_c0_g1_i1	TRINITY_DN10763_c0_g1_i3
TRINITY_DN10686_c0_g1_i1	TRINITY_DN10763_c0_g2_i7
TRINITY_DN10688_c0_g1_i1	TRINITY_DN10765_c0_g5_i1
TRINITY_DN10694_c0_g2_i1	TRINITY_DN1077_c1_g1_i3
TRINITY_DN10695_c0_g1_i4	TRINITY_DN1077_c1_g3_i2
TRINITY_DN10695_c0_g1_i5	TRINITY_DN10783_c0_g1_i9
TRINITY_DN10722_c0_g1_i1	TRINITY_DN107_c0_g2_i3
TRINITY_DN10722_c0_g1_i4	TRINITY_DN107_c14_g1_i1
TRINITY_DN10722_c0_g1_i5	TRINITY_DN10803_c0_g1_i2
TRINITY_DN10730_c0_g1_i1	TRINITY_DN1082_c0_g4_i1
TRINITY_DN10735_c0_g1_i3	TRINITY_DN1083_c0_g5_i1
TRINITY_DN1073_c0_g1_i13	TRINITY_DN1083_c5_g1_i1
TRINITY_DN1073_c0_g2_i1	TRINITY_DN10861_c1_g1_i2
TRINITY_DN10757_c0_g2_i1	TRINITY_DN10862_c0_g1_i1
TRINITY_DN107664_c0_g1_i1	TRINITY_DN10865_c0_g1_i1
TRINITY_DN10776_c1_g1_i2	TRINITY_DN1086_c2_g2_i2
TRINITY_DN1077_c1_g3_i1	TRINITY_DN10870_c0_g2_i2
TRINITY_DN1077_c1_g4_i1	TRINITY_DN1087_c0_g1_i5
TRINITY_DN10785_c0_g1_i1	TRINITY_DN10886_c0_g1_i5
TRINITY_DN10787_c0_g1_i12	TRINITY_DN10886_c0_g2_i1
TRINITY_DN107919_c0_g1_i1	TRINITY_DN10888_c3_g1_i1
TRINITY_DN10797_c0_g1_i6	TRINITY_DN10945_c0_g1_i3
