C0-I	C1-I
TRINITY_DN160_c0_g1_i5	TRINITY_DN16175_c0_g3_i3
TRINITY_DN16106_c1_g1_i5	TRINITY_DN1619_c1_g4_i3
TRINITY_DN16110_c1_g2_i6	TRINITY_DN16207_c0_g1_i1
TRINITY_DN16111_c0_g2_i7	TRINITY_DN1620_c0_g1_i3
TRINITY_DN161201_c0_g1_i4	TRINITY_DN1621_c3_g1_i1
TRINITY_DN1612_c0_g1_i5	TRINITY_DN162380_c0_g1_i1
TRINITY_DN1613_c0_g2_i1	TRINITY_DN16248_c0_g1_i2
TRINITY_DN16146_c1_g1_i1	TRINITY_DN16277_c0_g1_i3
TRINITY_DN16147_c0_g1_i2	TRINITY_DN1627_c15_g3_i1
TRINITY_DN16161_c0_g1_i6	TRINITY_DN16283_c0_g1_i2
TRINITY_DN16177_c0_g1_i2	TRINITY_DN16290_c2_g1_i1
TRINITY_DN1617_c0_g3_i1	TRINITY_DN162_c0_g2_i7
TRINITY_DN16189_c2_g1_i1	TRINITY_DN16310_c0_g1_i1
TRINITY_DN1618_c1_g1_i3	TRINITY_DN1631_c0_g1_i10
TRINITY_DN1618_c1_g1_i4	TRINITY_DN1631_c0_g1_i2
TRINITY_DN16192_c0_g1_i2	TRINITY_DN1631_c0_g1_i9
TRINITY_DN16192_c0_g3_i4	TRINITY_DN1631_c1_g1_i3
TRINITY_DN161_c0_g2_i1	TRINITY_DN16331_c0_g1_i1
TRINITY_DN16201_c0_g1_i8	TRINITY_DN16337_c0_g2_i1
TRINITY_DN16209_c0_g2_i1	TRINITY_DN16364_c0_g1_i10
TRINITY_DN16210_c0_g2_i4	TRINITY_DN1636_c1_g1_i8
TRINITY_DN1621_c0_g1_i2	TRINITY_DN16371_c0_g1_i3
TRINITY_DN1624_c1_g1_i7	TRINITY_DN16377_c0_g5_i1
TRINITY_DN1624_c4_g1_i5	TRINITY_DN16377_c1_g1_i1
TRINITY_DN162689_c0_g1_i2	TRINITY_DN16380_c0_g2_i1
TRINITY_DN16277_c0_g1_i1	TRINITY_DN16381_c0_g2_i3
TRINITY_DN1627_c15_g2_i1	TRINITY_DN16391_c2_g1_i2
TRINITY_DN1629_c0_g1_i5	TRINITY_DN16394_c0_g1_i5
TRINITY_DN1629_c0_g1_i6	TRINITY_DN16396_c0_g1_i3
TRINITY_DN162_c0_g1_i4	TRINITY_DN1639_c0_g1_i2
TRINITY_DN162_c0_g2_i11	TRINITY_DN1639_c0_g1_i3
TRINITY_DN162_c0_g2_i15	TRINITY_DN1639_c0_g2_i8
TRINITY_DN1634_c0_g1_i1	TRINITY_DN16406_c0_g1_i2
TRINITY_DN1634_c1_g1_i5	TRINITY_DN1640_c1_g1_i2
TRINITY_DN1635_c0_g1_i4	TRINITY_DN16414_c0_g1_i4
TRINITY_DN1635_c0_g1_i7	TRINITY_DN1645_c1_g1_i13
TRINITY_DN1637_c4_g1_i3	TRINITY_DN16477_c4_g1_i1
TRINITY_DN163810_c0_g1_i1	TRINITY_DN16480_c0_g1_i4
TRINITY_DN16402_c0_g1_i1	TRINITY_DN1649_c0_g3_i1
TRINITY_DN16405_c1_g1_i2	TRINITY_DN1649_c1_g1_i1
TRINITY_DN16406_c0_g1_i1	TRINITY_DN1649_c1_g2_i2
TRINITY_DN1640_c0_g1_i3	TRINITY_DN16506_c0_g1_i6
TRINITY_DN1640_c0_g1_i5	TRINITY_DN16515_c0_g1_i1
TRINITY_DN16413_c0_g1_i1	TRINITY_DN1652_c0_g6_i2
TRINITY_DN1643_c0_g2_i1	TRINITY_DN1653_c0_g1_i1
TRINITY_DN1643_c0_g2_i6	TRINITY_DN1655_c0_g1_i1
TRINITY_DN16443_c0_g2_i2	TRINITY_DN1655_c1_g2_i3
TRINITY_DN16449_c0_g2_i3	TRINITY_DN16576_c0_g3_i1
TRINITY_DN1645_c0_g2_i1	TRINITY_DN16581_c0_g1_i2
TRINITY_DN1645_c0_g2_i6	TRINITY_DN16586_c1_g3_i3
TRINITY_DN1645_c1_g1_i1	TRINITY_DN165_c17_g1_i6
TRINITY_DN1645_c1_g1_i3	TRINITY_DN165_c2_g1_i1
TRINITY_DN1646_c0_g1_i3	TRINITY_DN1660_c0_g4_i1
TRINITY_DN16476_c0_g1_i1	TRINITY_DN1661_c0_g1_i9
TRINITY_DN16483_c0_g1_i4	TRINITY_DN16635_c0_g1_i1
TRINITY_DN164_c0_g2_i1	TRINITY_DN16648_c0_g1_i2
TRINITY_DN16502_c0_g2_i2	TRINITY_DN16683_c0_g2_i2
TRINITY_DN1652_c0_g5_i1	TRINITY_DN16690_c0_g1_i1
TRINITY_DN165563_c0_g1_i1	TRINITY_DN16695_c0_g1_i3
TRINITY_DN16561_c0_g6_i1	TRINITY_DN16706_c0_g1_i1
TRINITY_DN1658_c7_g1_i1	TRINITY_DN16722_c0_g1_i5
TRINITY_DN1660_c4_g1_i2	TRINITY_DN16728_c2_g1_i3
TRINITY_DN1660_c9_g1_i1	TRINITY_DN1673_c0_g1_i2
TRINITY_DN16630_c0_g1_i16	TRINITY_DN1673_c1_g4_i1
TRINITY_DN16675_c0_g2_i1	TRINITY_DN16742_c0_g2_i1
TRINITY_DN1668_c6_g1_i3	TRINITY_DN1674_c1_g1_i3
TRINITY_DN1670_c0_g1_i3	TRINITY_DN1676_c0_g1_i3
TRINITY_DN16720_c0_g1_i2	TRINITY_DN1676_c0_g1_i6
TRINITY_DN16720_c0_g1_i5	TRINITY_DN16773_c0_g1_i2
TRINITY_DN16733_c0_g1_i4	TRINITY_DN1677_c0_g1_i1
TRINITY_DN1673_c2_g1_i1	TRINITY_DN1678_c0_g1_i13
TRINITY_DN1673_c3_g1_i2	TRINITY_DN1678_c0_g1_i9
TRINITY_DN1674_c1_g2_i2	TRINITY_DN16793_c0_g1_i1
TRINITY_DN16758_c0_g1_i1	TRINITY_DN16794_c0_g1_i4
TRINITY_DN16767_c0_g2_i1	TRINITY_DN1680_c1_g1_i9
TRINITY_DN1678_c1_g1_i3	TRINITY_DN16826_c0_g2_i1
TRINITY_DN16792_c0_g1_i5	TRINITY_DN1682_c0_g3_i1
TRINITY_DN16792_c0_g1_i7	TRINITY_DN16847_c0_g1_i4
TRINITY_DN1680_c2_g1_i1	TRINITY_DN1684_c0_g1_i1
TRINITY_DN1680_c4_g1_i1	TRINITY_DN1684_c0_g1_i11
TRINITY_DN168183_c0_g2_i1	TRINITY_DN1684_c0_g1_i13
TRINITY_DN16818_c0_g1_i1	TRINITY_DN1684_c0_g2_i1
TRINITY_DN16831_c0_g1_i2	TRINITY_DN16855_c0_g1_i2
TRINITY_DN1683_c0_g1_i15	TRINITY_DN168624_c0_g1_i1
TRINITY_DN1683_c0_g1_i9	TRINITY_DN16867_c0_g1_i2
TRINITY_DN1683_c1_g1_i2	TRINITY_DN16867_c1_g2_i1
TRINITY_DN1683_c1_g1_i3	TRINITY_DN1692_c1_g1_i16
TRINITY_DN16848_c0_g1_i5	TRINITY_DN16948_c0_g5_i1
TRINITY_DN1689_c0_g1_i1	TRINITY_DN16968_c0_g2_i1
TRINITY_DN1689_c0_g1_i2	TRINITY_DN16974_c0_g1_i4
TRINITY_DN16900_c0_g1_i1	TRINITY_DN16978_c1_g1_i4
TRINITY_DN1690_c0_g1_i2	TRINITY_DN16981_c0_g1_i1
TRINITY_DN1690_c1_g1_i2	TRINITY_DN16988_c1_g1_i1
TRINITY_DN16932_c0_g1_i4	TRINITY_DN1698_c0_g1_i4
TRINITY_DN16939_c0_g2_i1	TRINITY_DN16_c1_g1_i3
TRINITY_DN16961_c0_g2_i3	TRINITY_DN16_c1_g1_i6
TRINITY_DN16967_c0_g2_i1	TRINITY_DN1700_c0_g1_i2
TRINITY_DN1696_c0_g1_i1	TRINITY_DN1700_c0_g1_i7
TRINITY_DN16971_c0_g1_i2	TRINITY_DN17017_c0_g1_i1
TRINITY_DN16974_c0_g1_i5	TRINITY_DN17017_c0_g1_i2
TRINITY_DN1697_c0_g1_i7	TRINITY_DN17033_c0_g3_i1
TRINITY_DN1697_c0_g2_i5	TRINITY_DN17037_c0_g1_i2
TRINITY_DN16982_c0_g1_i2	TRINITY_DN1703_c0_g2_i1
TRINITY_DN1698_c0_g1_i6	TRINITY_DN1703_c0_g2_i3
TRINITY_DN1699_c0_g1_i1	TRINITY_DN17044_c0_g1_i7
TRINITY_DN1699_c0_g2_i2	TRINITY_DN1704_c0_g2_i1
TRINITY_DN1699_c0_g2_i3	TRINITY_DN17051_c0_g2_i1
TRINITY_DN169_c0_g2_i2	TRINITY_DN17052_c0_g1_i3
TRINITY_DN16_c0_g1_i3	TRINITY_DN17064_c0_g2_i4
TRINITY_DN16_c1_g1_i9	TRINITY_DN1706_c0_g3_i1
TRINITY_DN16_c1_g2_i1	TRINITY_DN1707_c0_g1_i5
TRINITY_DN16_c1_g4_i2	TRINITY_DN1707_c2_g2_i1
TRINITY_DN16_c3_g1_i1	TRINITY_DN17083_c1_g2_i1
TRINITY_DN16_c3_g3_i1	TRINITY_DN17097_c0_g3_i1
TRINITY_DN17008_c0_g2_i1	TRINITY_DN170_c1_g1_i12
TRINITY_DN17013_c0_g1_i7	TRINITY_DN170_c1_g1_i2
TRINITY_DN17034_c0_g1_i1	TRINITY_DN17103_c0_g1_i3
TRINITY_DN17036_c0_g6_i1	TRINITY_DN17103_c0_g3_i1
TRINITY_DN170381_c0_g1_i6	TRINITY_DN17110_c0_g1_i10
TRINITY_DN1703_c0_g1_i1	TRINITY_DN17110_c0_g1_i6
TRINITY_DN1703_c0_g2_i5	TRINITY_DN17110_c0_g1_i7
TRINITY_DN17063_c2_g1_i1	TRINITY_DN1711_c0_g1_i1
TRINITY_DN1706_c0_g1_i4	TRINITY_DN1711_c0_g2_i4
TRINITY_DN1707_c0_g3_i1	TRINITY_DN1711_c0_g4_i1
TRINITY_DN1707_c2_g1_i1	TRINITY_DN1711_c2_g1_i3
TRINITY_DN1707_c4_g1_i1	TRINITY_DN171248_c0_g1_i1
TRINITY_DN170_c0_g1_i3	TRINITY_DN1712_c0_g1_i10
TRINITY_DN17107_c0_g1_i12	TRINITY_DN1713_c2_g2_i1
TRINITY_DN17107_c0_g1_i6	TRINITY_DN1713_c2_g3_i1
TRINITY_DN17119_c0_g1_i3	TRINITY_DN1716_c0_g1_i2
TRINITY_DN1712_c0_g1_i9	TRINITY_DN1716_c2_g1_i2
TRINITY_DN17141_c0_g1_i9	TRINITY_DN17170_c1_g1_i3
TRINITY_DN17154_c0_g1_i5	TRINITY_DN17186_c0_g3_i2
TRINITY_DN17180_c0_g2_i6	TRINITY_DN1718_c0_g1_i6
TRINITY_DN17195_c0_g1_i9	TRINITY_DN1718_c0_g2_i1
TRINITY_DN17195_c1_g1_i1	TRINITY_DN17208_c0_g4_i1
TRINITY_DN1720_c2_g3_i2	TRINITY_DN1720_c0_g2_i3
TRINITY_DN1720_c2_g4_i1	TRINITY_DN172279_c0_g1_i1
TRINITY_DN1721_c1_g1_i2	TRINITY_DN1723_c0_g2_i1
TRINITY_DN17232_c0_g1_i2	TRINITY_DN1724_c6_g1_i1
TRINITY_DN17247_c0_g1_i1	TRINITY_DN17253_c1_g1_i2
TRINITY_DN17247_c1_g2_i2	TRINITY_DN1725_c0_g2_i1
TRINITY_DN17279_c0_g1_i1	TRINITY_DN17287_c0_g2_i4
TRINITY_DN1727_c0_g1_i1	TRINITY_DN17302_c0_g1_i2
TRINITY_DN17287_c0_g1_i1	TRINITY_DN17302_c0_g1_i4
TRINITY_DN1728_c0_g1_i1	TRINITY_DN17302_c0_g1_i5
TRINITY_DN1728_c0_g1_i2	TRINITY_DN1730_c2_g1_i1
TRINITY_DN17293_c0_g2_i5	TRINITY_DN17314_c0_g1_i2
TRINITY_DN17294_c0_g2_i2	TRINITY_DN17322_c0_g1_i1
TRINITY_DN17295_c2_g1_i2	TRINITY_DN1733_c0_g1_i3
TRINITY_DN172_c3_g1_i6	TRINITY_DN1733_c1_g1_i16
TRINITY_DN173151_c0_g1_i3	TRINITY_DN1733_c6_g2_i1
TRINITY_DN173357_c0_g1_i1	TRINITY_DN173510_c0_g1_i1
TRINITY_DN1733_c0_g2_i11	TRINITY_DN1736_c8_g1_i1
TRINITY_DN173417_c0_g1_i1	TRINITY_DN173796_c1_g1_i1
TRINITY_DN17350_c0_g2_i1	TRINITY_DN1737_c0_g2_i1
TRINITY_DN17356_c0_g1_i2	TRINITY_DN173922_c0_g1_i1
TRINITY_DN1735_c0_g2_i4	TRINITY_DN173_c0_g1_i1
TRINITY_DN1735_c1_g2_i1	TRINITY_DN173_c0_g4_i1
TRINITY_DN1736_c0_g1_i7	TRINITY_DN17402_c0_g1_i8
TRINITY_DN17373_c0_g2_i2	TRINITY_DN1740_c0_g1_i11
TRINITY_DN17376_c0_g3_i6	TRINITY_DN1740_c0_g1_i12
TRINITY_DN1737_c0_g1_i4	TRINITY_DN1741_c2_g1_i9
TRINITY_DN1737_c1_g2_i1	TRINITY_DN1742_c3_g3_i1
TRINITY_DN1738_c0_g1_i2	TRINITY_DN1743_c0_g1_i12
TRINITY_DN1739_c0_g1_i8	TRINITY_DN17472_c0_g2_i1
TRINITY_DN173_c1_g1_i1	TRINITY_DN1747_c0_g1_i4
TRINITY_DN17415_c0_g2_i1	TRINITY_DN1747_c0_g2_i1
TRINITY_DN17417_c0_g1_i7	TRINITY_DN17494_c0_g1_i1
TRINITY_DN17435_c0_g2_i1	TRINITY_DN174975_c0_g1_i2
TRINITY_DN1744_c0_g1_i1	TRINITY_DN17503_c0_g1_i4
TRINITY_DN17459_c0_g1_i1	TRINITY_DN1750_c3_g1_i1
TRINITY_DN17461_c2_g1_i1	TRINITY_DN1753_c2_g1_i1
TRINITY_DN17474_c0_g1_i2	TRINITY_DN17565_c0_g2_i1
TRINITY_DN17483_c0_g2_i9	TRINITY_DN17568_c3_g1_i1
TRINITY_DN17485_c0_g1_i2	TRINITY_DN17568_c3_g1_i2
TRINITY_DN174899_c0_g1_i2	TRINITY_DN17570_c0_g1_i1
TRINITY_DN1749_c0_g1_i2	TRINITY_DN17577_c0_g3_i2
TRINITY_DN1749_c0_g1_i6	TRINITY_DN1758_c0_g1_i1
TRINITY_DN174_c0_g2_i4	TRINITY_DN17590_c0_g2_i3
TRINITY_DN17503_c0_g2_i1	TRINITY_DN175_c0_g4_i1
TRINITY_DN1751_c0_g1_i1	TRINITY_DN175_c2_g1_i3
TRINITY_DN17544_c0_g1_i1	TRINITY_DN1760_c0_g2_i1
TRINITY_DN17551_c0_g1_i1	TRINITY_DN1761_c0_g2_i2
TRINITY_DN17562_c1_g1_i2	TRINITY_DN1761_c5_g2_i4
TRINITY_DN1758_c2_g1_i1	TRINITY_DN1761_c9_g1_i1
TRINITY_DN1758_c2_g1_i3	TRINITY_DN17642_c0_g1_i2
TRINITY_DN1759_c0_g2_i1	TRINITY_DN1765_c1_g1_i2
TRINITY_DN175_c0_g2_i1	TRINITY_DN1765_c1_g2_i1
TRINITY_DN175_c0_g6_i1	TRINITY_DN176621_c0_g2_i2
TRINITY_DN175_c0_g7_i1	TRINITY_DN17685_c0_g1_i5
TRINITY_DN1761_c2_g1_i1	TRINITY_DN17687_c0_g2_i2
TRINITY_DN17629_c1_g1_i6	TRINITY_DN1768_c0_g1_i13
TRINITY_DN1762_c0_g1_i5	TRINITY_DN1768_c15_g1_i1
TRINITY_DN17638_c0_g2_i1	TRINITY_DN1769_c0_g1_i3
TRINITY_DN17638_c0_g2_i6	TRINITY_DN176_c0_g1_i8
TRINITY_DN17642_c0_g1_i3	TRINITY_DN17708_c0_g1_i6
TRINITY_DN17654_c0_g1_i3	TRINITY_DN17712_c0_g1_i24
TRINITY_DN17656_c0_g4_i1	TRINITY_DN17714_c1_g2_i7
TRINITY_DN17658_c0_g2_i1	TRINITY_DN1771_c0_g1_i1
TRINITY_DN17664_c2_g2_i1	TRINITY_DN1771_c1_g1_i5
TRINITY_DN1766_c0_g1_i12	TRINITY_DN1771_c7_g1_i4
TRINITY_DN17673_c0_g3_i2	TRINITY_DN17724_c0_g1_i1
TRINITY_DN1768_c2_g1_i1	TRINITY_DN17727_c0_g1_i10
TRINITY_DN176_c0_g1_i10	TRINITY_DN177758_c0_g1_i2
TRINITY_DN17708_c0_g1_i3	TRINITY_DN17791_c0_g1_i6
TRINITY_DN17715_c0_g1_i11	TRINITY_DN17796_c0_g2_i1
TRINITY_DN17715_c0_g1_i5	TRINITY_DN17804_c0_g2_i2
TRINITY_DN17715_c1_g1_i9	TRINITY_DN17823_c0_g1_i9
TRINITY_DN177287_c0_g1_i1	TRINITY_DN1782_c2_g1_i2
TRINITY_DN17736_c0_g1_i4	TRINITY_DN178307_c0_g4_i1
TRINITY_DN17773_c0_g1_i1	TRINITY_DN17834_c0_g1_i3
TRINITY_DN1777_c0_g1_i12	TRINITY_DN17847_c0_g1_i1
TRINITY_DN1777_c0_g1_i13	TRINITY_DN17849_c0_g1_i1
TRINITY_DN1777_c0_g1_i15	TRINITY_DN17883_c0_g1_i1
TRINITY_DN17780_c0_g1_i6	TRINITY_DN1788_c0_g2_i2
TRINITY_DN17783_c1_g2_i1	TRINITY_DN1789_c0_g1_i1
TRINITY_DN17796_c0_g5_i3	TRINITY_DN1789_c1_g2_i2
TRINITY_DN17798_c0_g1_i2	TRINITY_DN1789_c1_g4_i1
TRINITY_DN1781_c0_g2_i1	TRINITY_DN178_c0_g1_i2
TRINITY_DN1781_c0_g3_i2	TRINITY_DN17902_c0_g3_i2
TRINITY_DN1781_c0_g4_i1	TRINITY_DN1791_c0_g2_i1
TRINITY_DN1781_c0_g5_i1	TRINITY_DN17923_c0_g1_i2
TRINITY_DN17823_c0_g1_i13	TRINITY_DN17935_c0_g1_i24
TRINITY_DN17833_c0_g1_i2	TRINITY_DN17945_c0_g1_i1
TRINITY_DN17860_c0_g1_i5	TRINITY_DN17947_c0_g1_i1
TRINITY_DN17866_c2_g1_i1	TRINITY_DN1794_c1_g1_i2
TRINITY_DN1786_c0_g1_i3	TRINITY_DN17965_c0_g1_i1
TRINITY_DN17895_c0_g1_i2	TRINITY_DN17970_c0_g1_i1
TRINITY_DN178_c0_g1_i9	TRINITY_DN17979_c0_g1_i1
TRINITY_DN17901_c0_g1_i5	TRINITY_DN1797_c0_g1_i5
TRINITY_DN1791_c1_g1_i1	TRINITY_DN1797_c0_g1_i9
TRINITY_DN1791_c8_g1_i10	TRINITY_DN17996_c0_g1_i1
TRINITY_DN17928_c0_g2_i1	TRINITY_DN179_c2_g1_i3
TRINITY_DN17937_c0_g1_i4	TRINITY_DN17_c1_g1_i1
TRINITY_DN17937_c0_g1_i5	TRINITY_DN17_c6_g1_i1
TRINITY_DN17939_c0_g2_i3	TRINITY_DN1800_c0_g1_i2
TRINITY_DN17957_c0_g1_i3	TRINITY_DN1800_c3_g1_i1
TRINITY_DN17958_c0_g1_i1	TRINITY_DN180190_c0_g1_i1
TRINITY_DN1796_c0_g1_i2	TRINITY_DN18021_c0_g1_i1
TRINITY_DN1796_c0_g1_i4	TRINITY_DN18026_c0_g1_i11
TRINITY_DN17989_c0_g3_i1	TRINITY_DN1802_c2_g2_i1
TRINITY_DN17995_c0_g2_i1	TRINITY_DN1803_c0_g1_i2
TRINITY_DN1800_c0_g1_i4	TRINITY_DN1805_c1_g1_i15
TRINITY_DN1800_c5_g2_i1	TRINITY_DN18076_c1_g1_i5
TRINITY_DN18013_c0_g1_i2	TRINITY_DN1807_c1_g1_i4
TRINITY_DN18015_c0_g1_i5	TRINITY_DN1807_c1_g2_i1
TRINITY_DN18015_c0_g2_i4	TRINITY_DN180820_c0_g1_i3
TRINITY_DN18029_c0_g2_i7	TRINITY_DN1808_c0_g1_i1
TRINITY_DN1802_c0_g1_i1	TRINITY_DN18094_c0_g1_i1
TRINITY_DN1802_c0_g1_i6	TRINITY_DN1809_c0_g1_i7
TRINITY_DN1802_c2_g4_i1	TRINITY_DN1811_c1_g1_i1
TRINITY_DN18044_c0_g1_i3	TRINITY_DN1811_c1_g2_i1
TRINITY_DN18045_c0_g1_i6	TRINITY_DN18135_c0_g1_i1
TRINITY_DN1804_c0_g2_i3	TRINITY_DN18135_c0_g1_i2
TRINITY_DN1804_c0_g2_i5	TRINITY_DN18149_c0_g1_i1
TRINITY_DN1805_c1_g1_i13	TRINITY_DN181_c27_g7_i1
TRINITY_DN18061_c0_g1_i8	TRINITY_DN18217_c1_g2_i2
TRINITY_DN18067_c0_g1_i3	TRINITY_DN18220_c0_g1_i2
TRINITY_DN1806_c0_g2_i2	TRINITY_DN1822_c0_g1_i4
TRINITY_DN18085_c0_g1_i7	TRINITY_DN1822_c1_g2_i3
TRINITY_DN18086_c0_g2_i5	TRINITY_DN18248_c0_g2_i16
TRINITY_DN18086_c0_g4_i1	TRINITY_DN18248_c0_g2_i3
TRINITY_DN18091_c0_g3_i1	TRINITY_DN1825_c1_g1_i2
TRINITY_DN18095_c0_g2_i5	TRINITY_DN1825_c1_g1_i3
TRINITY_DN18097_c0_g1_i1	TRINITY_DN18266_c0_g1_i1
TRINITY_DN18097_c0_g1_i6	TRINITY_DN18295_c0_g1_i11
TRINITY_DN1812_c0_g1_i12	TRINITY_DN18295_c0_g4_i1
TRINITY_DN1812_c0_g1_i13	TRINITY_DN182_c0_g1_i6
TRINITY_DN1815_c0_g1_i5	TRINITY_DN18304_c0_g2_i5
TRINITY_DN18185_c0_g1_i4	TRINITY_DN1830_c1_g1_i1
TRINITY_DN18195_c0_g1_i1	TRINITY_DN18314_c0_g1_i9
TRINITY_DN18196_c0_g2_i3	TRINITY_DN1831_c0_g1_i5
TRINITY_DN181_c0_g1_i1	TRINITY_DN18354_c0_g3_i2
TRINITY_DN181_c1_g2_i8	TRINITY_DN18357_c0_g1_i1
TRINITY_DN18209_c0_g1_i1	TRINITY_DN18357_c0_g2_i1
TRINITY_DN18209_c0_g1_i2	TRINITY_DN1836_c0_g1_i6
TRINITY_DN1820_c0_g1_i1	TRINITY_DN1837_c0_g1_i2
TRINITY_DN1820_c0_g2_i2	TRINITY_DN18421_c3_g2_i1
TRINITY_DN1820_c0_g3_i1	TRINITY_DN18450_c0_g2_i1
TRINITY_DN18216_c0_g1_i17	TRINITY_DN184641_c0_g1_i1
TRINITY_DN18216_c0_g1_i3	TRINITY_DN18465_c0_g3_i1
TRINITY_DN1821_c25_g1_i1	TRINITY_DN18469_c0_g3_i2
TRINITY_DN18273_c0_g2_i1	TRINITY_DN18486_c0_g4_i1
TRINITY_DN18291_c0_g1_i5	TRINITY_DN1850_c0_g1_i2
TRINITY_DN182_c0_g1_i3	TRINITY_DN1850_c0_g1_i6
TRINITY_DN182_c0_g1_i4	TRINITY_DN1850_c0_g2_i1
TRINITY_DN182_c0_g1_i7	TRINITY_DN18518_c0_g1_i4
TRINITY_DN182_c1_g2_i2	TRINITY_DN1851_c0_g2_i4
TRINITY_DN18308_c0_g1_i3	TRINITY_DN1853_c0_g3_i2
TRINITY_DN1834_c0_g2_i4	TRINITY_DN18559_c0_g1_i5
TRINITY_DN18359_c0_g1_i2	TRINITY_DN185660_c0_g1_i4
TRINITY_DN183937_c0_g1_i1	TRINITY_DN18587_c1_g2_i1
TRINITY_DN18407_c0_g2_i1	TRINITY_DN1858_c0_g1_i6
TRINITY_DN1841_c0_g1_i4	TRINITY_DN1858_c0_g2_i17
TRINITY_DN18430_c1_g1_i1	TRINITY_DN1858_c0_g2_i8
TRINITY_DN1843_c2_g1_i3	TRINITY_DN18597_c0_g1_i1
TRINITY_DN18457_c0_g1_i4	TRINITY_DN18597_c0_g3_i1
TRINITY_DN18457_c0_g1_i6	TRINITY_DN18597_c1_g1_i1
TRINITY_DN1845_c0_g2_i2	TRINITY_DN1859_c1_g2_i1
TRINITY_DN18469_c0_g1_i1	TRINITY_DN18605_c0_g1_i3
TRINITY_DN184821_c0_g1_i3	TRINITY_DN1860_c0_g1_i13
TRINITY_DN1848_c0_g1_i10	TRINITY_DN1860_c0_g1_i19
TRINITY_DN1848_c1_g1_i10	TRINITY_DN1860_c0_g1_i20
TRINITY_DN18491_c0_g1_i4	TRINITY_DN1860_c0_g1_i9
TRINITY_DN1849_c4_g1_i1	TRINITY_DN1860_c0_g2_i1
TRINITY_DN18505_c0_g3_i1	TRINITY_DN18610_c0_g1_i2
TRINITY_DN1850_c0_g1_i3	TRINITY_DN1863_c1_g2_i8
TRINITY_DN1850_c0_g1_i7	TRINITY_DN1863_c2_g1_i5
TRINITY_DN18510_c0_g1_i1	TRINITY_DN1864_c1_g2_i1
TRINITY_DN18517_c0_g1_i4	TRINITY_DN18651_c0_g1_i2
TRINITY_DN18530_c1_g3_i3	TRINITY_DN18655_c0_g1_i1
TRINITY_DN18531_c0_g1_i2	TRINITY_DN18659_c0_g1_i3
TRINITY_DN18553_c0_g1_i1	TRINITY_DN18669_c0_g1_i1
TRINITY_DN1855_c0_g1_i1	TRINITY_DN18669_c0_g2_i1
TRINITY_DN1855_c0_g1_i7	TRINITY_DN18673_c0_g2_i1
TRINITY_DN1856_c0_g2_i4	TRINITY_DN18677_c0_g1_i4
TRINITY_DN1857_c0_g1_i6	TRINITY_DN1868_c1_g2_i2
TRINITY_DN185_c2_g1_i1	TRINITY_DN1868_c1_g4_i4
TRINITY_DN18625_c1_g1_i2	TRINITY_DN1871_c0_g1_i1
TRINITY_DN1863_c1_g4_i1	TRINITY_DN1871_c0_g1_i10
TRINITY_DN1864_c0_g1_i2	TRINITY_DN1871_c0_g1_i4
TRINITY_DN18656_c0_g1_i1	TRINITY_DN1871_c0_g1_i5
TRINITY_DN1865_c0_g1_i6	TRINITY_DN1872_c0_g2_i1
TRINITY_DN18667_c0_g1_i4	TRINITY_DN1872_c0_g2_i2
TRINITY_DN18667_c0_g3_i1	TRINITY_DN1872_c1_g1_i1
TRINITY_DN1866_c0_g1_i1	TRINITY_DN1872_c1_g2_i1
TRINITY_DN1867_c0_g2_i2	TRINITY_DN18730_c0_g1_i7
TRINITY_DN1867_c0_g2_i4	TRINITY_DN1873_c1_g2_i16
TRINITY_DN1868_c1_g4_i3	TRINITY_DN18755_c0_g3_i3
TRINITY_DN1868_c1_g5_i1	TRINITY_DN18782_c0_g1_i4
TRINITY_DN1870_c2_g1_i9	TRINITY_DN1878_c0_g1_i5
TRINITY_DN1870_c3_g1_i6	TRINITY_DN1879_c0_g1_i13
TRINITY_DN18715_c0_g1_i2	TRINITY_DN18841_c0_g1_i3
TRINITY_DN1873_c0_g1_i5	TRINITY_DN1884_c0_g1_i2
TRINITY_DN1873_c0_g1_i6	TRINITY_DN1884_c1_g1_i10
TRINITY_DN1873_c0_g1_i8	TRINITY_DN18852_c1_g1_i3
TRINITY_DN1873_c1_g2_i13	TRINITY_DN18852_c1_g1_i4
TRINITY_DN18747_c0_g1_i1	TRINITY_DN188568_c0_g1_i2
TRINITY_DN18784_c0_g2_i6	TRINITY_DN18859_c1_g3_i1
TRINITY_DN18784_c0_g2_i7	TRINITY_DN1885_c0_g1_i2
TRINITY_DN18784_c0_g3_i1	TRINITY_DN18916_c0_g1_i2
TRINITY_DN18784_c0_g3_i2	TRINITY_DN189330_c0_g2_i1
TRINITY_DN18789_c0_g1_i2	TRINITY_DN18957_c0_g1_i3
TRINITY_DN187_c0_g3_i2	TRINITY_DN189_c0_g1_i10
TRINITY_DN187_c0_g4_i3	TRINITY_DN189_c0_g1_i11
TRINITY_DN18813_c1_g1_i1	TRINITY_DN189_c0_g1_i6
TRINITY_DN18814_c0_g1_i10	TRINITY_DN1900_c0_g1_i4
TRINITY_DN1881_c0_g3_i1	TRINITY_DN1900_c0_g5_i1
TRINITY_DN18820_c1_g1_i1	TRINITY_DN19016_c0_g1_i1
TRINITY_DN18823_c0_g2_i2	TRINITY_DN19020_c0_g1_i1
