C0-III	C1-III	C2-II
TRINITY_DN1398_c0_g6_i1	TRINITY_DN16043_c0_g1_i1	TRINITY_DN1466_c1_g2_i1
TRINITY_DN139921_c0_g1_i5	TRINITY_DN16043_c0_g1_i2	TRINITY_DN14671_c0_g1_i11
TRINITY_DN13999_c0_g1_i2	TRINITY_DN16043_c0_g1_i3	TRINITY_DN14677_c0_g1_i1
TRINITY_DN13_c2_g1_i2	TRINITY_DN16043_c0_g4_i1	TRINITY_DN14692_c0_g1_i1
TRINITY_DN13_c6_g1_i1	TRINITY_DN16074_c0_g2_i5	TRINITY_DN1469_c0_g2_i1
TRINITY_DN1401_c0_g1_i13	TRINITY_DN1607_c1_g1_i1	TRINITY_DN146_c1_g1_i6
TRINITY_DN14032_c0_g1_i5	TRINITY_DN16089_c2_g1_i26	TRINITY_DN1471_c0_g2_i1
TRINITY_DN14039_c2_g1_i1	TRINITY_DN16103_c0_g1_i2	TRINITY_DN14720_c0_g1_i17
TRINITY_DN1403_c0_g2_i12	TRINITY_DN16129_c0_g1_i6	TRINITY_DN14722_c0_g1_i1
TRINITY_DN140456_c0_g1_i1	TRINITY_DN1612_c0_g1_i5	TRINITY_DN14722_c0_g1_i5
TRINITY_DN140456_c0_g1_i5	TRINITY_DN16147_c0_g1_i11	TRINITY_DN14753_c0_g1_i4
TRINITY_DN14047_c1_g2_i4	TRINITY_DN16147_c0_g1_i2	TRINITY_DN14758_c1_g1_i2
TRINITY_DN1404_c0_g1_i12	TRINITY_DN16147_c0_g1_i8	TRINITY_DN147629_c0_g1_i1
TRINITY_DN14054_c0_g1_i2	TRINITY_DN16153_c0_g1_i7	TRINITY_DN14768_c0_g1_i6
TRINITY_DN140550_c0_g1_i1	TRINITY_DN16167_c0_g1_i13	TRINITY_DN14768_c1_g1_i1
TRINITY_DN1405_c1_g1_i2	TRINITY_DN16175_c0_g4_i2	TRINITY_DN14771_c0_g1_i2
TRINITY_DN1405_c4_g6_i1	TRINITY_DN1617_c0_g2_i3	TRINITY_DN1479_c0_g1_i11
TRINITY_DN1406_c0_g3_i2	TRINITY_DN1617_c0_g3_i1	TRINITY_DN1479_c0_g1_i9
TRINITY_DN1406_c0_g4_i2	TRINITY_DN161889_c0_g1_i4	TRINITY_DN148077_c0_g1_i1
TRINITY_DN1406_c0_g6_i1	TRINITY_DN1618_c1_g1_i3	TRINITY_DN148077_c0_g1_i5
TRINITY_DN14085_c0_g1_i10	TRINITY_DN16192_c0_g3_i4	TRINITY_DN14807_c5_g1_i1
TRINITY_DN14085_c0_g1_i5	TRINITY_DN1619_c1_g7_i2	TRINITY_DN14808_c0_g1_i1
TRINITY_DN14090_c0_g1_i1	TRINITY_DN161_c0_g1_i1	TRINITY_DN14808_c0_g1_i2
TRINITY_DN14090_c0_g2_i7	TRINITY_DN16205_c0_g1_i2	TRINITY_DN14817_c0_g1_i4
TRINITY_DN14094_c0_g1_i2	TRINITY_DN16209_c0_g1_i3	TRINITY_DN14819_c0_g2_i1
TRINITY_DN140_c1_g1_i5	TRINITY_DN1620_c0_g2_i1	TRINITY_DN1481_c1_g3_i1
TRINITY_DN14104_c0_g6_i3	TRINITY_DN1620_c0_g2_i3	TRINITY_DN14820_c0_g1_i8
TRINITY_DN14110_c0_g1_i4	TRINITY_DN1621_c1_g1_i1	TRINITY_DN14844_c0_g1_i2
TRINITY_DN14112_c1_g1_i1	TRINITY_DN1621_c8_g3_i3	TRINITY_DN14848_c0_g1_i1
TRINITY_DN141175_c0_g2_i6	TRINITY_DN1621_c9_g2_i8	TRINITY_DN1484_c0_g2_i21
TRINITY_DN14120_c0_g1_i1	TRINITY_DN16230_c2_g2_i2	TRINITY_DN1484_c7_g1_i1
TRINITY_DN14121_c0_g1_i10	TRINITY_DN16233_c1_g1_i2	TRINITY_DN14852_c1_g1_i1
TRINITY_DN141240_c0_g3_i5	TRINITY_DN16243_c2_g1_i1	TRINITY_DN14854_c0_g1_i1
TRINITY_DN141294_c0_g1_i1	TRINITY_DN162488_c0_g1_i1	TRINITY_DN14862_c0_g1_i2
TRINITY_DN14129_c0_g1_i3	TRINITY_DN1624_c4_g1_i5	TRINITY_DN148644_c0_g1_i1
TRINITY_DN14129_c0_g1_i6	TRINITY_DN16261_c0_g1_i11	TRINITY_DN148779_c0_g1_i1
TRINITY_DN141394_c1_g3_i1	TRINITY_DN1628_c8_g1_i2	TRINITY_DN14882_c0_g1_i1
TRINITY_DN14144_c0_g1_i1	TRINITY_DN1629_c0_g1_i1	TRINITY_DN148843_c0_g1_i10
TRINITY_DN14144_c0_g1_i3	TRINITY_DN162_c0_g2_i9	TRINITY_DN148843_c0_g1_i2
TRINITY_DN14149_c0_g3_i1	TRINITY_DN162_c1_g2_i1	TRINITY_DN14910_c0_g1_i5
TRINITY_DN141539_c0_g1_i1	TRINITY_DN1630_c0_g1_i2	TRINITY_DN14911_c0_g1_i5
TRINITY_DN1415_c0_g1_i1	TRINITY_DN163148_c0_g1_i2	TRINITY_DN14915_c1_g1_i2
TRINITY_DN14163_c0_g3_i3	TRINITY_DN1631_c5_g1_i4	TRINITY_DN149262_c2_g1_i1
TRINITY_DN141646_c0_g1_i8	TRINITY_DN16327_c0_g1_i3	TRINITY_DN14935_c0_g1_i12
TRINITY_DN141646_c1_g1_i4	TRINITY_DN163391_c0_g2_i2	TRINITY_DN14943_c0_g1_i6
TRINITY_DN14166_c0_g1_i1	TRINITY_DN163427_c0_g1_i1	TRINITY_DN14943_c0_g1_i9
TRINITY_DN14172_c0_g1_i2	TRINITY_DN1635_c0_g1_i5	TRINITY_DN14949_c0_g1_i3
TRINITY_DN1417_c2_g2_i1	TRINITY_DN1636_c0_g2_i1	TRINITY_DN1494_c0_g1_i11
TRINITY_DN14180_c0_g1_i1	TRINITY_DN16379_c0_g1_i12	TRINITY_DN14956_c0_g1_i4
TRINITY_DN1418_c1_g1_i1	TRINITY_DN16401_c0_g2_i4	TRINITY_DN149626_c0_g1_i1
TRINITY_DN14192_c0_g2_i1	TRINITY_DN16449_c0_g2_i3	TRINITY_DN14982_c0_g4_i5
TRINITY_DN14192_c0_g4_i3	TRINITY_DN16449_c0_g3_i1	TRINITY_DN14989_c0_g1_i2
TRINITY_DN1419_c0_g3_i2	TRINITY_DN1645_c0_g2_i1	TRINITY_DN14989_c0_g1_i6
TRINITY_DN142016_c0_g1_i1	TRINITY_DN1645_c0_g2_i6	TRINITY_DN14989_c0_g1_i8
TRINITY_DN1420_c0_g2_i1	TRINITY_DN1645_c1_g1_i7	TRINITY_DN1498_c1_g1_i6
TRINITY_DN14218_c0_g3_i1	TRINITY_DN16465_c0_g1_i1	TRINITY_DN149_c1_g1_i4
TRINITY_DN142190_c0_g1_i1	TRINITY_DN16468_c1_g1_i4	TRINITY_DN150034_c4_g1_i1
TRINITY_DN14222_c0_g2_i3	TRINITY_DN16473_c0_g1_i2	TRINITY_DN1500_c19_g3_i1
TRINITY_DN14222_c0_g4_i2	TRINITY_DN16482_c0_g1_i1	TRINITY_DN15010_c1_g1_i1
TRINITY_DN14226_c0_g1_i3	TRINITY_DN1649_c1_g4_i3	TRINITY_DN15013_c0_g2_i2
TRINITY_DN1422_c2_g1_i1	TRINITY_DN16526_c0_g1_i12	TRINITY_DN15016_c0_g3_i2
TRINITY_DN14242_c0_g3_i2	TRINITY_DN1652_c0_g1_i6	TRINITY_DN15019_c0_g3_i3
TRINITY_DN14245_c2_g1_i1	TRINITY_DN16545_c1_g1_i3	TRINITY_DN15028_c0_g2_i12
TRINITY_DN14249_c1_g1_i1	TRINITY_DN1655_c1_g1_i3	TRINITY_DN1502_c8_g1_i1
TRINITY_DN1424_c0_g2_i1	TRINITY_DN16561_c0_g6_i1	TRINITY_DN15037_c0_g2_i5
TRINITY_DN1424_c1_g1_i6	TRINITY_DN1657_c1_g1_i10	TRINITY_DN15044_c0_g2_i1
TRINITY_DN142528_c0_g1_i1	TRINITY_DN16580_c0_g1_i3	TRINITY_DN15045_c0_g1_i1
TRINITY_DN14253_c0_g2_i1	TRINITY_DN1660_c0_g3_i2	TRINITY_DN15047_c0_g1_i16
TRINITY_DN14257_c0_g2_i1	TRINITY_DN166161_c0_g1_i1	TRINITY_DN15047_c0_g4_i1
TRINITY_DN142580_c0_g1_i2	TRINITY_DN1662_c0_g1_i3	TRINITY_DN15049_c0_g1_i4
TRINITY_DN14266_c1_g1_i2	TRINITY_DN1662_c0_g2_i3	TRINITY_DN1505_c0_g1_i11
TRINITY_DN14274_c0_g3_i3	TRINITY_DN16632_c0_g1_i11	TRINITY_DN1505_c0_g1_i5
TRINITY_DN14284_c0_g1_i10	TRINITY_DN166417_c0_g2_i2	TRINITY_DN150613_c0_g1_i1
TRINITY_DN14297_c0_g2_i1	TRINITY_DN166590_c0_g1_i1	TRINITY_DN15062_c0_g1_i3
TRINITY_DN14303_c0_g1_i1	TRINITY_DN16666_c0_g1_i3	TRINITY_DN15076_c0_g2_i7
TRINITY_DN1430_c0_g1_i2	TRINITY_DN166758_c2_g1_i1	TRINITY_DN150818_c0_g1_i1
TRINITY_DN143120_c5_g1_i1	TRINITY_DN16683_c0_g2_i1	TRINITY_DN15086_c0_g1_i2
TRINITY_DN14314_c0_g1_i6	TRINITY_DN1668_c3_g3_i2	TRINITY_DN15092_c0_g1_i2
TRINITY_DN14328_c0_g1_i4	TRINITY_DN1668_c7_g1_i1	TRINITY_DN150_c0_g2_i1
TRINITY_DN1432_c0_g1_i8	TRINITY_DN166945_c0_g4_i1	TRINITY_DN1511_c0_g1_i1
TRINITY_DN1432_c1_g2_i1	TRINITY_DN16695_c0_g1_i1	TRINITY_DN15123_c0_g1_i1
TRINITY_DN14333_c0_g1_i2	TRINITY_DN16707_c0_g1_i2	TRINITY_DN15137_c0_g2_i1
TRINITY_DN1433_c0_g1_i2	TRINITY_DN167202_c0_g1_i1	TRINITY_DN1513_c1_g1_i1
TRINITY_DN14340_c0_g1_i3	TRINITY_DN16733_c0_g1_i4	TRINITY_DN1513_c2_g1_i1
TRINITY_DN143437_c0_g2_i1	TRINITY_DN16733_c0_g1_i7	TRINITY_DN151520_c0_g2_i1
TRINITY_DN1434_c0_g5_i1	TRINITY_DN1673_c2_g1_i1	TRINITY_DN15158_c0_g1_i6
TRINITY_DN14350_c0_g3_i3	TRINITY_DN1673_c3_g1_i1	TRINITY_DN1515_c0_g1_i1
TRINITY_DN1435_c0_g1_i5	TRINITY_DN167496_c0_g1_i2	TRINITY_DN1515_c0_g1_i4
TRINITY_DN1435_c1_g1_i6	TRINITY_DN16749_c0_g1_i1	TRINITY_DN1515_c1_g1_i1
TRINITY_DN1435_c1_g2_i1	TRINITY_DN16767_c0_g2_i1	TRINITY_DN15162_c0_g1_i7
TRINITY_DN14361_c0_g1_i2	TRINITY_DN16768_c0_g2_i4	TRINITY_DN15162_c0_g1_i8
TRINITY_DN14365_c2_g1_i1	TRINITY_DN16768_c1_g2_i4	TRINITY_DN151661_c0_g1_i2
TRINITY_DN1436_c0_g1_i2	TRINITY_DN16777_c0_g1_i3	TRINITY_DN1516_c0_g2_i3
TRINITY_DN1436_c0_g2_i1	TRINITY_DN16796_c0_g1_i5	TRINITY_DN15171_c0_g1_i2
TRINITY_DN14372_c0_g1_i13	TRINITY_DN167_c0_g1_i1	TRINITY_DN1517_c0_g1_i7
TRINITY_DN1437_c0_g1_i11	TRINITY_DN16808_c0_g1_i2	TRINITY_DN1517_c0_g2_i1
TRINITY_DN14388_c0_g1_i4	TRINITY_DN168109_c0_g2_i1	TRINITY_DN151953_c0_g1_i2
TRINITY_DN14397_c0_g1_i3	TRINITY_DN168183_c0_g2_i1	TRINITY_DN151969_c0_g1_i1
TRINITY_DN143_c0_g1_i10	TRINITY_DN168183_c0_g2_i2	TRINITY_DN15197_c0_g1_i1
TRINITY_DN14401_c0_g2_i2	TRINITY_DN16845_c0_g1_i2	TRINITY_DN15199_c0_g1_i1
TRINITY_DN1440_c0_g1_i9	TRINITY_DN1685_c0_g1_i9	TRINITY_DN152093_c0_g1_i6
TRINITY_DN1440_c0_g2_i1	TRINITY_DN16871_c0_g2_i1	TRINITY_DN1520_c0_g1_i1
TRINITY_DN1440_c0_g2_i6	TRINITY_DN16872_c0_g1_i5	TRINITY_DN1520_c0_g1_i13
TRINITY_DN14416_c0_g1_i1	TRINITY_DN16884_c0_g1_i4	TRINITY_DN1520_c0_g1_i9
TRINITY_DN14420_c0_g1_i4	TRINITY_DN168_c1_g1_i10	TRINITY_DN15225_c0_g2_i2
TRINITY_DN14432_c0_g1_i13	TRINITY_DN16917_c0_g1_i9	TRINITY_DN15230_c0_g1_i7
TRINITY_DN144398_c0_g1_i1	TRINITY_DN1691_c2_g1_i1	TRINITY_DN15234_c0_g2_i1
TRINITY_DN1443_c0_g1_i3	TRINITY_DN1691_c6_g1_i1	TRINITY_DN15238_c0_g1_i3
TRINITY_DN14452_c0_g1_i11	TRINITY_DN16922_c0_g1_i9	TRINITY_DN15246_c0_g1_i10
TRINITY_DN14452_c0_g1_i6	TRINITY_DN1692_c1_g1_i9	TRINITY_DN15253_c0_g1_i8
TRINITY_DN14457_c0_g2_i3	TRINITY_DN16930_c0_g1_i3	TRINITY_DN15253_c0_g1_i9
TRINITY_DN14462_c0_g2_i2	TRINITY_DN16963_c0_g1_i3	TRINITY_DN15254_c0_g1_i17
TRINITY_DN14469_c0_g2_i1	TRINITY_DN16969_c0_g1_i2	TRINITY_DN15254_c0_g1_i8
TRINITY_DN144763_c0_g1_i3	TRINITY_DN1698_c0_g2_i3	TRINITY_DN15258_c0_g1_i14
TRINITY_DN144763_c0_g1_i7	TRINITY_DN16990_c0_g2_i1	TRINITY_DN15258_c0_g1_i2
TRINITY_DN1447_c0_g1_i3	TRINITY_DN1699_c1_g2_i2	TRINITY_DN1525_c0_g6_i1
TRINITY_DN1448_c0_g2_i4	TRINITY_DN17028_c0_g2_i5	TRINITY_DN1526_c0_g1_i7
TRINITY_DN14491_c0_g1_i1	TRINITY_DN17031_c0_g3_i1	TRINITY_DN15273_c0_g2_i1
TRINITY_DN14496_c0_g1_i2	TRINITY_DN170456_c0_g1_i3	TRINITY_DN152757_c0_g2_i1
TRINITY_DN1449_c3_g6_i2	TRINITY_DN1705_c0_g1_i5	TRINITY_DN15292_c0_g1_i2
TRINITY_DN1449_c5_g1_i1	TRINITY_DN1705_c0_g1_i7	TRINITY_DN15295_c1_g1_i1
TRINITY_DN1449_c6_g1_i1	TRINITY_DN1706_c0_g4_i1	TRINITY_DN15298_c0_g1_i7
TRINITY_DN144_c1_g1_i1	TRINITY_DN17077_c0_g2_i3	TRINITY_DN1529_c0_g2_i2
TRINITY_DN14509_c0_g1_i4	TRINITY_DN17099_c0_g1_i11	TRINITY_DN15301_c1_g1_i5
TRINITY_DN1450_c0_g2_i2	TRINITY_DN17104_c0_g1_i3	TRINITY_DN15302_c0_g2_i1
TRINITY_DN14510_c0_g2_i1	TRINITY_DN1713_c3_g1_i2	TRINITY_DN15320_c0_g1_i8
TRINITY_DN14510_c1_g1_i3	TRINITY_DN17141_c0_g1_i12	TRINITY_DN1532_c1_g4_i1
TRINITY_DN14513_c1_g1_i2	TRINITY_DN17163_c1_g2_i1	TRINITY_DN153371_c0_g2_i1
TRINITY_DN14516_c0_g1_i1	TRINITY_DN17195_c1_g2_i1	TRINITY_DN1533_c0_g2_i1
TRINITY_DN14519_c0_g1_i3	TRINITY_DN171_c0_g1_i1	TRINITY_DN1533_c0_g2_i2
TRINITY_DN1451_c0_g1_i4	TRINITY_DN172054_c2_g1_i1	TRINITY_DN15341_c0_g1_i5
TRINITY_DN1451_c1_g4_i1	TRINITY_DN1720_c1_g1_i6	TRINITY_DN1534_c0_g1_i18
TRINITY_DN1452_c0_g1_i14	TRINITY_DN1720_c2_g3_i2	TRINITY_DN1534_c0_g1_i2
TRINITY_DN1452_c0_g1_i3	TRINITY_DN1720_c2_g3_i5	TRINITY_DN1535_c2_g2_i1
TRINITY_DN14531_c1_g1_i11	TRINITY_DN1724_c15_g1_i1	TRINITY_DN153679_c0_g2_i3
TRINITY_DN14542_c4_g1_i1	TRINITY_DN172761_c0_g1_i1	TRINITY_DN153742_c0_g1_i3
TRINITY_DN1454_c0_g3_i2	TRINITY_DN17279_c0_g1_i1	TRINITY_DN15377_c0_g1_i11
TRINITY_DN14556_c0_g1_i1	TRINITY_DN17284_c1_g1_i1	TRINITY_DN1537_c0_g1_i3
TRINITY_DN145709_c3_g1_i1	TRINITY_DN17288_c0_g1_i5	TRINITY_DN1537_c12_g1_i1
TRINITY_DN1457_c0_g1_i13	TRINITY_DN17295_c2_g3_i1	TRINITY_DN1537_c5_g1_i1
TRINITY_DN1457_c0_g1_i6	TRINITY_DN17307_c1_g1_i1	TRINITY_DN15380_c0_g2_i2
TRINITY_DN1458_c1_g1_i9	TRINITY_DN17307_c2_g1_i9	TRINITY_DN1538_c0_g3_i1
TRINITY_DN14595_c1_g1_i12	TRINITY_DN173297_c0_g1_i1	TRINITY_DN1538_c0_g6_i1
TRINITY_DN14598_c0_g2_i9	TRINITY_DN173357_c0_g1_i1	TRINITY_DN1538_c1_g1_i4
TRINITY_DN1459_c0_g4_i1	TRINITY_DN1735_c0_g1_i1	TRINITY_DN15394_c0_g1_i3
TRINITY_DN145_c0_g1_i5	TRINITY_DN173629_c0_g1_i3	TRINITY_DN15394_c1_g1_i1
TRINITY_DN14613_c0_g1_i2	TRINITY_DN1736_c4_g1_i8	TRINITY_DN153_c1_g1_i21
TRINITY_DN14621_c0_g1_i3	TRINITY_DN173766_c0_g2_i1	TRINITY_DN15439_c0_g1_i1
TRINITY_DN14628_c0_g1_i6	TRINITY_DN1737_c1_g2_i1	TRINITY_DN1543_c0_g1_i6
TRINITY_DN1462_c2_g1_i1	TRINITY_DN17392_c1_g1_i4	TRINITY_DN15452_c2_g1_i1
TRINITY_DN1464_c0_g4_i1	TRINITY_DN17394_c6_g2_i2	TRINITY_DN1545_c5_g1_i1
TRINITY_DN1466_c0_g2_i2	TRINITY_DN173_c1_g1_i2	TRINITY_DN15460_c1_g2_i1
TRINITY_DN1466_c1_g1_i14	TRINITY_DN17404_c0_g1_i1	TRINITY_DN15463_c0_g1_i10
TRINITY_DN14671_c0_g3_i1	TRINITY_DN17409_c0_g1_i6	TRINITY_DN154642_c0_g1_i3
TRINITY_DN14671_c0_g4_i1	TRINITY_DN17415_c0_g1_i2	TRINITY_DN15465_c0_g1_i2
TRINITY_DN14675_c0_g1_i3	TRINITY_DN17416_c0_g1_i1	TRINITY_DN1546_c0_g1_i2
TRINITY_DN14677_c1_g1_i1	TRINITY_DN174346_c1_g1_i1	TRINITY_DN15477_c0_g1_i1
TRINITY_DN1468_c0_g1_i3	TRINITY_DN1743_c1_g1_i1	TRINITY_DN15496_c0_g1_i1
TRINITY_DN1469_c0_g1_i7	TRINITY_DN17440_c0_g2_i1	TRINITY_DN15502_c0_g1_i2
TRINITY_DN146_c0_g1_i15	TRINITY_DN1745_c0_g1_i4	TRINITY_DN15502_c0_g1_i5
TRINITY_DN146_c0_g1_i18	TRINITY_DN17490_c0_g2_i2	TRINITY_DN15506_c1_g1_i1
TRINITY_DN14704_c0_g2_i1	TRINITY_DN17529_c0_g1_i3	TRINITY_DN15509_c1_g2_i3
TRINITY_DN14706_c0_g1_i2	TRINITY_DN17545_c0_g1_i1	TRINITY_DN15510_c0_g1_i9
TRINITY_DN1471_c0_g2_i3	TRINITY_DN17551_c0_g1_i1	TRINITY_DN1551_c0_g1_i1
TRINITY_DN1471_c0_g2_i7	TRINITY_DN17580_c0_g2_i4	TRINITY_DN15521_c0_g1_i13
TRINITY_DN147215_c0_g1_i1	TRINITY_DN17588_c0_g1_i1	TRINITY_DN15522_c0_g2_i3
TRINITY_DN14721_c2_g1_i4	TRINITY_DN176143_c0_g1_i1	TRINITY_DN15531_c5_g1_i1
TRINITY_DN14731_c0_g1_i5	TRINITY_DN17619_c1_g2_i1	TRINITY_DN15532_c0_g2_i2
TRINITY_DN14738_c0_g1_i15	TRINITY_DN1761_c1_g1_i10	TRINITY_DN15533_c0_g1_i1
TRINITY_DN14738_c0_g1_i2	TRINITY_DN1761_c5_g2_i6	TRINITY_DN15553_c0_g2_i1
TRINITY_DN1473_c0_g1_i2	TRINITY_DN176294_c0_g1_i1	TRINITY_DN15556_c0_g1_i1
TRINITY_DN14740_c0_g3_i1	TRINITY_DN176294_c1_g2_i1	TRINITY_DN15556_c0_g2_i2
TRINITY_DN14748_c0_g1_i2	TRINITY_DN1762_c0_g1_i5	TRINITY_DN15562_c0_g1_i9
TRINITY_DN14753_c0_g2_i1	TRINITY_DN17638_c0_g2_i4	TRINITY_DN15577_c0_g1_i1
TRINITY_DN147590_c0_g1_i1	TRINITY_DN1764_c0_g1_i2	TRINITY_DN155842_c0_g1_i1
TRINITY_DN1475_c0_g1_i8	TRINITY_DN17654_c0_g1_i3	TRINITY_DN15588_c0_g1_i15
TRINITY_DN14764_c0_g1_i7	TRINITY_DN17658_c0_g3_i1	TRINITY_DN1558_c2_g1_i1
TRINITY_DN1476_c0_g6_i1	TRINITY_DN17664_c2_g2_i1	TRINITY_DN15597_c0_g1_i4
TRINITY_DN1476_c13_g1_i1	TRINITY_DN17679_c0_g4_i1	TRINITY_DN155_c3_g2_i5
TRINITY_DN14775_c0_g1_i1	TRINITY_DN17686_c0_g4_i1	TRINITY_DN1560_c0_g1_i1
TRINITY_DN1477_c0_g1_i12	TRINITY_DN1768_c0_g1_i12	TRINITY_DN15620_c0_g1_i1
TRINITY_DN1477_c0_g1_i17	TRINITY_DN176939_c0_g1_i1	TRINITY_DN1562_c0_g2_i1
TRINITY_DN1477_c0_g1_i19	TRINITY_DN1769_c0_g1_i5	TRINITY_DN1562_c0_g2_i3
TRINITY_DN1477_c0_g2_i1	TRINITY_DN17702_c0_g1_i3	TRINITY_DN15639_c0_g1_i11
TRINITY_DN147921_c0_g1_i1	TRINITY_DN177049_c0_g1_i1	TRINITY_DN15659_c0_g1_i1
TRINITY_DN14794_c0_g1_i2	TRINITY_DN17708_c0_g1_i3	TRINITY_DN15675_c0_g1_i13
TRINITY_DN14795_c0_g1_i1	TRINITY_DN1770_c2_g1_i1	TRINITY_DN15675_c0_g1_i6
TRINITY_DN14804_c0_g1_i1	TRINITY_DN1771_c1_g1_i9	TRINITY_DN15682_c0_g1_i1
TRINITY_DN14811_c0_g1_i9	TRINITY_DN1771_c2_g1_i4	TRINITY_DN15684_c0_g2_i8
TRINITY_DN148134_c0_g1_i1	TRINITY_DN17722_c0_g1_i6	TRINITY_DN15687_c0_g1_i1
TRINITY_DN14829_c1_g3_i1	TRINITY_DN177280_c0_g1_i3	TRINITY_DN15690_c0_g1_i4
TRINITY_DN1482_c0_g1_i1	TRINITY_DN17731_c0_g2_i1	TRINITY_DN15692_c1_g1_i2
TRINITY_DN14834_c3_g1_i1	TRINITY_DN17742_c0_g2_i1	TRINITY_DN156_c0_g1_i1
TRINITY_DN1483_c0_g1_i15	TRINITY_DN17747_c0_g1_i1	TRINITY_DN15700_c0_g1_i7
TRINITY_DN1483_c0_g3_i2	TRINITY_DN17762_c1_g1_i1	TRINITY_DN15714_c0_g1_i1
TRINITY_DN14841_c1_g1_i2	TRINITY_DN177709_c0_g1_i1	TRINITY_DN1571_c0_g1_i3
TRINITY_DN148450_c1_g1_i1	TRINITY_DN17775_c1_g1_i4	TRINITY_DN1572_c1_g2_i1
TRINITY_DN148493_c2_g1_i1	TRINITY_DN17781_c77_g1_i1	TRINITY_DN1572_c1_g2_i3
TRINITY_DN1484_c0_g2_i1	TRINITY_DN177_c0_g2_i2	TRINITY_DN1572_c1_g2_i8
TRINITY_DN1484_c0_g2_i10	TRINITY_DN17804_c0_g2_i1	TRINITY_DN1573_c1_g1_i1
TRINITY_DN1484_c0_g2_i13	TRINITY_DN1780_c0_g1_i3	TRINITY_DN1573_c1_g3_i1
TRINITY_DN1484_c0_g2_i14	TRINITY_DN1781_c0_g4_i1	TRINITY_DN15744_c0_g1_i8
TRINITY_DN1484_c0_g3_i1	TRINITY_DN1781_c0_g5_i2	TRINITY_DN1574_c0_g2_i1
TRINITY_DN14855_c0_g2_i4	TRINITY_DN178245_c0_g1_i1	TRINITY_DN15751_c0_g1_i6
TRINITY_DN14861_c0_g1_i8	TRINITY_DN17855_c0_g1_i1	TRINITY_DN157629_c0_g1_i1
TRINITY_DN14873_c0_g2_i2	TRINITY_DN17855_c0_g4_i1	TRINITY_DN15800_c0_g1_i1
TRINITY_DN14878_c1_g1_i6	TRINITY_DN178593_c1_g1_i1	TRINITY_DN15812_c0_g2_i2
TRINITY_DN14882_c2_g3_i3	TRINITY_DN17859_c0_g1_i12	TRINITY_DN15814_c0_g1_i2
TRINITY_DN148955_c0_g2_i1	TRINITY_DN17859_c1_g1_i1	TRINITY_DN15838_c0_g1_i3
TRINITY_DN148_c0_g1_i1	TRINITY_DN1785_c0_g1_i3	TRINITY_DN15839_c0_g5_i1
TRINITY_DN148_c0_g1_i2	TRINITY_DN17864_c2_g1_i1	TRINITY_DN15854_c0_g2_i3
TRINITY_DN148_c0_g1_i6	TRINITY_DN178651_c0_g1_i1	TRINITY_DN15881_c0_g1_i4
TRINITY_DN14902_c1_g2_i1	TRINITY_DN178658_c0_g1_i1	TRINITY_DN15884_c1_g1_i1
TRINITY_DN14905_c0_g3_i3	TRINITY_DN178741_c0_g2_i1	TRINITY_DN15890_c0_g1_i2
TRINITY_DN14908_c0_g1_i1	TRINITY_DN17880_c0_g1_i5	TRINITY_DN15893_c0_g1_i3
TRINITY_DN1490_c4_g1_i2	TRINITY_DN178818_c2_g1_i1	TRINITY_DN158_c0_g1_i4
TRINITY_DN14910_c0_g1_i2	TRINITY_DN17883_c0_g2_i1	TRINITY_DN158_c1_g3_i1
TRINITY_DN14911_c0_g1_i6	TRINITY_DN178_c0_g1_i9	TRINITY_DN15902_c0_g1_i9
TRINITY_DN1491_c1_g1_i8	TRINITY_DN17901_c0_g3_i1	TRINITY_DN1590_c0_g1_i6
TRINITY_DN149283_c0_g1_i1	TRINITY_DN17913_c0_g2_i1	TRINITY_DN15910_c0_g1_i9
TRINITY_DN149298_c1_g1_i1	TRINITY_DN17916_c0_g1_i8	TRINITY_DN1591_c0_g1_i6
TRINITY_DN14939_c0_g1_i2	TRINITY_DN17916_c1_g1_i2	TRINITY_DN15922_c0_g1_i1
TRINITY_DN1493_c0_g3_i4	TRINITY_DN17920_c0_g1_i1	TRINITY_DN15927_c0_g2_i1
TRINITY_DN14943_c0_g1_i8	TRINITY_DN17928_c0_g1_i5	TRINITY_DN1592_c1_g2_i1
TRINITY_DN149499_c0_g1_i4	TRINITY_DN1792_c1_g2_i1	TRINITY_DN15933_c0_g1_i12
TRINITY_DN1494_c1_g1_i12	TRINITY_DN17931_c0_g1_i2	TRINITY_DN15937_c1_g1_i1
TRINITY_DN1494_c1_g1_i5	TRINITY_DN17935_c0_g1_i3	TRINITY_DN15949_c0_g2_i1
TRINITY_DN1495_c0_g1_i4	TRINITY_DN17937_c0_g1_i7	TRINITY_DN15949_c0_g3_i1
TRINITY_DN1495_c0_g2_i1	TRINITY_DN17939_c0_g2_i2	TRINITY_DN1594_c0_g1_i3
TRINITY_DN149606_c0_g1_i1	TRINITY_DN17944_c0_g1_i9	TRINITY_DN1595_c0_g1_i1
TRINITY_DN14965_c0_g1_i5	TRINITY_DN17945_c4_g1_i1	TRINITY_DN1596_c0_g1_i20
TRINITY_DN1496_c0_g1_i3	TRINITY_DN17958_c0_g1_i2	TRINITY_DN1597_c0_g1_i5
TRINITY_DN14970_c0_g1_i1	TRINITY_DN17958_c0_g1_i5	TRINITY_DN1597_c3_g1_i1
