C0-III	C1-III	C2-II
TRINITY_DN1013_c0_g2_i1	TRINITY_DN1022_c0_g1_i9	TRINITY_DN101810_c0_g1_i1
TRINITY_DN101402_c0_g1_i1	TRINITY_DN10231_c2_g1_i1	TRINITY_DN10185_c3_g1_i5
TRINITY_DN101408_c0_g1_i1	TRINITY_DN1023_c0_g1_i4	TRINITY_DN10196_c0_g2_i2
TRINITY_DN101438_c0_g1_i1	TRINITY_DN10246_c0_g2_i1	TRINITY_DN101_c0_g1_i9
TRINITY_DN10146_c0_g2_i4	TRINITY_DN102477_c0_g2_i3	TRINITY_DN101_c0_g3_i1
TRINITY_DN10147_c0_g2_i1	TRINITY_DN102542_c0_g1_i1	TRINITY_DN10200_c0_g1_i1
TRINITY_DN101580_c0_g2_i1	TRINITY_DN10257_c0_g1_i2	TRINITY_DN10217_c1_g3_i1
TRINITY_DN10158_c0_g1_i6	TRINITY_DN10268_c0_g1_i18	TRINITY_DN10227_c0_g1_i7
TRINITY_DN10158_c0_g1_i9	TRINITY_DN102731_c0_g2_i1	TRINITY_DN10227_c0_g1_i8
TRINITY_DN10159_c0_g1_i5	TRINITY_DN102927_c0_g1_i1	TRINITY_DN10227_c0_g3_i1
TRINITY_DN10160_c0_g1_i3	TRINITY_DN10295_c0_g1_i9	TRINITY_DN10246_c0_g1_i1
TRINITY_DN10164_c0_g1_i1	TRINITY_DN10300_c0_g1_i2	TRINITY_DN10250_c0_g1_i1
TRINITY_DN10165_c0_g1_i1	TRINITY_DN10300_c1_g1_i1	TRINITY_DN102535_c0_g1_i3
TRINITY_DN10166_c0_g2_i2	TRINITY_DN10303_c1_g1_i3	TRINITY_DN10264_c0_g2_i7
TRINITY_DN10167_c0_g1_i9	TRINITY_DN10320_c0_g1_i2	TRINITY_DN10269_c0_g1_i3
TRINITY_DN1016_c0_g1_i9	TRINITY_DN10327_c0_g1_i2	TRINITY_DN1026_c6_g2_i2
TRINITY_DN10173_c0_g1_i6	TRINITY_DN103313_c0_g1_i1	TRINITY_DN102845_c0_g1_i1
TRINITY_DN1017_c0_g1_i4	TRINITY_DN103424_c0_g1_i1	TRINITY_DN102916_c0_g1_i1
TRINITY_DN1017_c1_g1_i4	TRINITY_DN10343_c0_g3_i1	TRINITY_DN102916_c0_g1_i3
TRINITY_DN1017_c1_g1_i6	TRINITY_DN1037_c1_g2_i1	TRINITY_DN10295_c0_g1_i4
TRINITY_DN1017_c2_g1_i3	TRINITY_DN103851_c0_g1_i1	TRINITY_DN10297_c0_g1_i4
TRINITY_DN101938_c0_g2_i1	TRINITY_DN10385_c1_g1_i1	TRINITY_DN102_c2_g1_i2
TRINITY_DN101_c0_g1_i13	TRINITY_DN10388_c0_g4_i1	TRINITY_DN102_c3_g3_i1
TRINITY_DN10208_c0_g1_i4	TRINITY_DN1038_c0_g1_i3	TRINITY_DN103073_c0_g1_i2
TRINITY_DN10218_c0_g1_i1	TRINITY_DN1039_c1_g2_i4	TRINITY_DN10314_c0_g1_i14
TRINITY_DN1021_c0_g1_i17	TRINITY_DN10404_c1_g1_i1	TRINITY_DN1031_c0_g1_i5
