C0-IV (42634 genes)	C1-IV (41276 genes)
TRINITY_DN10032_c0_g1_i9	TRINITY_DN10026_c0_g1_i2
TRINITY_DN10032_c1_g1_i3	TRINITY_DN10026_c0_g1_i3
TRINITY_DN10032_c1_g3_i1	TRINITY_DN10026_c0_g1_i4
TRINITY_DN100336_c0_g1_i1	TRINITY_DN10026_c0_g1_i7
TRINITY_DN10033_c0_g1_i3	TRINITY_DN10026_c0_g1_i8
TRINITY_DN10033_c1_g2_i1	TRINITY_DN10026_c0_g1_i9
TRINITY_DN10033_c2_g1_i2	TRINITY_DN10026_c1_g1_i1
TRINITY_DN10034_c0_g2_i5	TRINITY_DN100280_c0_g1_i1
TRINITY_DN10034_c0_g4_i1	TRINITY_DN1002_c0_g2_i1
TRINITY_DN10035_c0_g1_i12	TRINITY_DN1002_c0_g2_i3
TRINITY_DN100365_c0_g1_i1	TRINITY_DN1002_c0_g2_i6
TRINITY_DN100382_c0_g1_i2	TRINITY_DN1002_c0_g2_i8
TRINITY_DN10038_c0_g1_i5	TRINITY_DN1002_c1_g1_i1
TRINITY_DN10038_c0_g1_i7	TRINITY_DN10030_c0_g1_i1
TRINITY_DN10039_c0_g1_i1	TRINITY_DN10030_c0_g2_i6
TRINITY_DN1003_c0_g1_i1	TRINITY_DN10031_c0_g2_i2
TRINITY_DN1003_c1_g1_i1	TRINITY_DN10032_c0_g1_i13
TRINITY_DN1003_c1_g1_i2	TRINITY_DN10032_c0_g1_i8
TRINITY_DN1003_c1_g1_i3	TRINITY_DN10032_c1_g2_i4
TRINITY_DN1003_c1_g1_i5	TRINITY_DN10033_c1_g1_i1
TRINITY_DN100404_c1_g2_i1	TRINITY_DN10034_c0_g2_i1
TRINITY_DN100405_c0_g1_i1	TRINITY_DN10034_c0_g3_i1
TRINITY_DN10040_c0_g2_i5	TRINITY_DN100358_c0_g3_i1
TRINITY_DN10040_c1_g1_i1	TRINITY_DN100365_c0_g1_i6
TRINITY_DN10041_c0_g2_i1	TRINITY_DN100379_c0_g1_i1
TRINITY_DN100423_c0_g1_i1	TRINITY_DN10039_c1_g1_i1
TRINITY_DN100423_c0_g2_i1	TRINITY_DN1003_c0_g1_i2
TRINITY_DN100423_c3_g1_i1	TRINITY_DN1003_c0_g2_i1
TRINITY_DN100435_c0_g1_i1	TRINITY_DN1003_c1_g1_i8
TRINITY_DN10044_c0_g2_i2	TRINITY_DN10040_c0_g2_i1
TRINITY_DN10044_c0_g2_i4	TRINITY_DN10040_c0_g2_i10
TRINITY_DN10044_c0_g2_i5	TRINITY_DN10040_c0_g2_i3
TRINITY_DN10044_c0_g2_i7	TRINITY_DN10040_c0_g2_i4
TRINITY_DN10045_c0_g1_i15	TRINITY_DN10040_c0_g2_i8
TRINITY_DN10045_c0_g1_i16	TRINITY_DN10040_c0_g2_i9
TRINITY_DN10045_c0_g1_i17	TRINITY_DN10040_c2_g1_i1
TRINITY_DN10045_c0_g1_i2	TRINITY_DN10040_c4_g1_i1
TRINITY_DN10045_c0_g1_i4	TRINITY_DN100414_c0_g3_i5
TRINITY_DN10045_c0_g1_i8	TRINITY_DN100415_c0_g1_i2
TRINITY_DN100460_c0_g1_i1	TRINITY_DN10041_c0_g1_i1
TRINITY_DN10046_c0_g1_i2	TRINITY_DN100438_c0_g1_i1
TRINITY_DN10046_c0_g1_i3	TRINITY_DN100442_c0_g1_i1
TRINITY_DN10046_c0_g1_i5	TRINITY_DN10045_c0_g1_i1
TRINITY_DN10046_c0_g1_i6	TRINITY_DN10045_c0_g1_i7
TRINITY_DN10046_c0_g2_i1	TRINITY_DN100460_c1_g3_i1
TRINITY_DN10046_c0_g2_i2	TRINITY_DN100464_c0_g1_i10
TRINITY_DN10046_c0_g2_i5	TRINITY_DN100464_c0_g1_i7
TRINITY_DN10046_c0_g3_i1	TRINITY_DN100464_c0_g1_i8
TRINITY_DN10046_c2_g1_i1	TRINITY_DN100464_c0_g1_i9
TRINITY_DN100473_c0_g1_i1	TRINITY_DN10046_c0_g1_i1
TRINITY_DN100487_c0_g1_i1	TRINITY_DN10046_c0_g1_i4
TRINITY_DN100489_c0_g1_i1	TRINITY_DN10046_c0_g1_i8
TRINITY_DN100497_c0_g1_i1	TRINITY_DN100475_c0_g1_i1
TRINITY_DN100497_c0_g1_i3	TRINITY_DN10047_c0_g1_i1
TRINITY_DN100497_c1_g1_i1	TRINITY_DN10048_c0_g1_i1
TRINITY_DN1004_c0_g1_i1	TRINITY_DN1004_c1_g1_i2
TRINITY_DN10051_c0_g1_i1	TRINITY_DN100507_c0_g2_i3
TRINITY_DN10053_c0_g1_i4	TRINITY_DN100530_c0_g1_i4
TRINITY_DN10053_c0_g2_i2	TRINITY_DN10053_c0_g2_i1
TRINITY_DN10053_c1_g1_i1	TRINITY_DN100548_c0_g1_i1
TRINITY_DN100562_c0_g1_i1	TRINITY_DN100567_c1_g1_i1
TRINITY_DN10056_c0_g2_i1	TRINITY_DN100578_c0_g2_i1
TRINITY_DN100575_c0_g3_i1	TRINITY_DN10057_c0_g1_i3
TRINITY_DN100578_c1_g1_i1	TRINITY_DN100585_c0_g1_i1
TRINITY_DN10058_c0_g1_i1	TRINITY_DN1005_c0_g3_i2
TRINITY_DN100591_c0_g1_i1	TRINITY_DN100625_c0_g2_i1
TRINITY_DN100597_c0_g1_i2	TRINITY_DN100631_c1_g1_i1
TRINITY_DN100597_c0_g1_i4	TRINITY_DN100640_c0_g2_i1
TRINITY_DN100597_c0_g1_i6	TRINITY_DN10064_c0_g2_i1
TRINITY_DN10059_c0_g1_i2	TRINITY_DN10065_c0_g1_i1
TRINITY_DN1005_c0_g1_i2	TRINITY_DN10066_c0_g1_i3
TRINITY_DN100603_c0_g1_i4	TRINITY_DN10066_c0_g1_i5
TRINITY_DN100619_c0_g1_i1	TRINITY_DN10066_c0_g1_i9
TRINITY_DN10061_c0_g1_i2	TRINITY_DN10066_c1_g1_i6
TRINITY_DN10062_c0_g1_i1	TRINITY_DN10067_c3_g1_i1
TRINITY_DN10066_c0_g1_i4	TRINITY_DN1006_c1_g1_i3
TRINITY_DN10066_c0_g1_i6	TRINITY_DN1006_c1_g1_i4
TRINITY_DN10066_c1_g1_i2	TRINITY_DN1006_c1_g2_i1
TRINITY_DN10066_c1_g1_i3	TRINITY_DN1006_c1_g3_i1
TRINITY_DN100672_c0_g1_i1	TRINITY_DN100709_c0_g1_i2
TRINITY_DN100676_c0_g2_i1	TRINITY_DN10070_c0_g2_i4
TRINITY_DN100691_c0_g1_i1	TRINITY_DN10071_c0_g1_i4
TRINITY_DN100693_c0_g1_i1	TRINITY_DN10071_c0_g1_i5
TRINITY_DN1006_c1_g1_i5	TRINITY_DN10072_c0_g2_i3
TRINITY_DN1006_c1_g2_i5	TRINITY_DN10072_c0_g2_i4
TRINITY_DN100707_c0_g1_i3	TRINITY_DN10072_c0_g2_i6
TRINITY_DN100708_c0_g1_i1	TRINITY_DN10072_c0_g2_i7
TRINITY_DN10070_c0_g2_i7	TRINITY_DN10072_c1_g5_i1
TRINITY_DN10072_c0_g2_i2	TRINITY_DN10073_c0_g1_i1
TRINITY_DN10072_c1_g1_i1	TRINITY_DN10073_c0_g1_i5
TRINITY_DN10073_c0_g1_i2	TRINITY_DN10073_c0_g2_i1
TRINITY_DN10073_c0_g1_i3	TRINITY_DN100742_c0_g1_i1
TRINITY_DN10073_c0_g2_i2	TRINITY_DN10074_c0_g2_i2
TRINITY_DN10075_c0_g1_i1	TRINITY_DN10075_c0_g1_i10
TRINITY_DN10075_c0_g1_i13	TRINITY_DN10075_c0_g1_i12
TRINITY_DN10075_c0_g1_i15	TRINITY_DN10075_c0_g1_i14
TRINITY_DN10075_c0_g1_i18	TRINITY_DN10075_c0_g1_i17
TRINITY_DN10075_c0_g1_i20	TRINITY_DN10075_c0_g1_i21
TRINITY_DN10075_c0_g1_i25	TRINITY_DN10075_c0_g1_i22
TRINITY_DN10075_c0_g1_i26	TRINITY_DN10075_c0_g1_i23
TRINITY_DN10075_c0_g1_i3	TRINITY_DN10075_c0_g1_i30
TRINITY_DN10075_c0_g1_i33	TRINITY_DN10075_c0_g1_i7
TRINITY_DN10075_c0_g1_i36	TRINITY_DN10076_c0_g1_i3
TRINITY_DN10075_c0_g1_i4	TRINITY_DN10076_c0_g5_i1
TRINITY_DN10075_c0_g1_i5	TRINITY_DN10077_c0_g1_i2
TRINITY_DN10075_c0_g1_i8	TRINITY_DN10077_c2_g1_i1
TRINITY_DN10076_c0_g3_i1	TRINITY_DN100784_c0_g1_i1
TRINITY_DN10077_c0_g1_i1	TRINITY_DN100784_c0_g1_i3
TRINITY_DN10078_c0_g2_i3	TRINITY_DN100787_c0_g1_i1
TRINITY_DN100792_c0_g1_i1	TRINITY_DN10079_c0_g1_i14
TRINITY_DN100798_c0_g2_i2	TRINITY_DN10079_c0_g1_i2
TRINITY_DN10079_c0_g1_i6	TRINITY_DN10079_c0_g1_i8
TRINITY_DN10079_c0_g1_i7	TRINITY_DN1007_c0_g1_i3
TRINITY_DN1007_c0_g1_i2	TRINITY_DN10080_c2_g2_i3
TRINITY_DN10080_c2_g6_i1	TRINITY_DN10080_c2_g2_i5
TRINITY_DN10081_c0_g1_i1	TRINITY_DN10080_c4_g1_i1
TRINITY_DN10082_c0_g3_i1	TRINITY_DN100817_c0_g2_i1
TRINITY_DN10082_c1_g1_i1	TRINITY_DN100825_c0_g1_i1
TRINITY_DN100836_c0_g1_i1	TRINITY_DN10082_c0_g1_i1
TRINITY_DN10083_c4_g1_i1	TRINITY_DN10082_c0_g1_i2
TRINITY_DN10085_c0_g1_i1	TRINITY_DN10083_c0_g1_i1
TRINITY_DN100867_c0_g1_i2	TRINITY_DN100840_c0_g1_i1
TRINITY_DN10086_c0_g1_i1	TRINITY_DN100860_c0_g2_i1
TRINITY_DN10086_c2_g1_i2	TRINITY_DN10086_c0_g1_i4
TRINITY_DN100870_c0_g1_i1	TRINITY_DN10086_c0_g1_i5
TRINITY_DN100887_c0_g2_i1	TRINITY_DN10086_c0_g1_i7
TRINITY_DN100891_c0_g1_i5	TRINITY_DN10086_c0_g1_i8
TRINITY_DN10089_c0_g2_i1	TRINITY_DN100891_c0_g1_i10
TRINITY_DN10089_c0_g2_i3	TRINITY_DN100894_c0_g1_i1
TRINITY_DN1008_c0_g1_i1	TRINITY_DN10089_c0_g2_i5
TRINITY_DN1008_c0_g1_i2	TRINITY_DN10090_c0_g1_i2
TRINITY_DN10090_c0_g1_i11	TRINITY_DN10090_c0_g1_i8
TRINITY_DN10090_c0_g1_i5	TRINITY_DN10091_c0_g2_i3
TRINITY_DN10090_c0_g1_i9	TRINITY_DN100923_c1_g1_i4
TRINITY_DN10091_c0_g2_i1	TRINITY_DN100929_c0_g1_i6
TRINITY_DN100929_c0_g1_i5	TRINITY_DN10093_c0_g1_i4
TRINITY_DN100929_c0_g1_i7	TRINITY_DN100945_c0_g2_i1
TRINITY_DN100942_c0_g1_i3	TRINITY_DN100974_c0_g1_i2
TRINITY_DN100953_c1_g1_i1	TRINITY_DN10097_c0_g1_i7
TRINITY_DN100961_c0_g1_i1	TRINITY_DN10098_c0_g1_i1
TRINITY_DN10096_c0_g1_i1	TRINITY_DN10098_c0_g2_i1
TRINITY_DN10096_c0_g1_i2	TRINITY_DN10098_c0_g3_i1
TRINITY_DN10096_c1_g1_i2	TRINITY_DN100991_c0_g1_i5
TRINITY_DN10097_c0_g1_i9	TRINITY_DN1009_c0_g1_i1
TRINITY_DN100990_c0_g1_i1	TRINITY_DN1009_c0_g1_i10
TRINITY_DN100997_c0_g2_i1	TRINITY_DN1009_c0_g1_i17
TRINITY_DN10099_c0_g1_i1	TRINITY_DN1009_c0_g1_i3
TRINITY_DN1009_c0_g1_i16	TRINITY_DN1009_c0_g1_i5
TRINITY_DN1009_c0_g1_i19	TRINITY_DN100_c0_g1_i1
TRINITY_DN1009_c0_g1_i2	TRINITY_DN100_c0_g1_i5
TRINITY_DN1009_c0_g1_i9	TRINITY_DN100_c0_g1_i6
TRINITY_DN100_c0_g1_i10	TRINITY_DN100_c0_g1_i7
TRINITY_DN100_c0_g1_i4	TRINITY_DN10101_c0_g1_i1
TRINITY_DN100_c0_g1_i9	TRINITY_DN101025_c0_g1_i1
TRINITY_DN100_c0_g2_i1	TRINITY_DN101054_c0_g1_i1
TRINITY_DN100_c0_g3_i1	TRINITY_DN10105_c0_g1_i10
TRINITY_DN101003_c0_g1_i1	TRINITY_DN10105_c0_g1_i13
TRINITY_DN101043_c0_g1_i1	TRINITY_DN10105_c0_g1_i14
TRINITY_DN101044_c1_g1_i1	TRINITY_DN10105_c0_g1_i15
TRINITY_DN10104_c0_g4_i1	TRINITY_DN10105_c0_g1_i5
TRINITY_DN10105_c0_g1_i12	TRINITY_DN10105_c0_g1_i8
TRINITY_DN10105_c0_g1_i4	TRINITY_DN101074_c0_g1_i2
TRINITY_DN101065_c0_g1_i1	TRINITY_DN101075_c0_g1_i5
TRINITY_DN101074_c0_g1_i1	TRINITY_DN101075_c1_g1_i1
TRINITY_DN101074_c0_g1_i3	TRINITY_DN10107_c1_g1_i1
TRINITY_DN101075_c0_g1_i2	TRINITY_DN101088_c0_g1_i1
TRINITY_DN101075_c3_g1_i1	TRINITY_DN10108_c0_g1_i8
TRINITY_DN101077_c0_g1_i1	TRINITY_DN101091_c0_g1_i1
TRINITY_DN101080_c0_g1_i1	TRINITY_DN10109_c1_g1_i1
TRINITY_DN101094_c0_g2_i1	TRINITY_DN10109_c1_g2_i1
TRINITY_DN1010_c0_g1_i10	TRINITY_DN10109_c1_g5_i1
TRINITY_DN1010_c0_g1_i6	TRINITY_DN10109_c1_g5_i2
TRINITY_DN1010_c0_g2_i1	TRINITY_DN10109_c1_g6_i1
TRINITY_DN1010_c16_g1_i1	TRINITY_DN1010_c0_g1_i2
TRINITY_DN101143_c0_g1_i1	TRINITY_DN1010_c0_g1_i8
TRINITY_DN10114_c0_g1_i3	TRINITY_DN1010_c0_g1_i9
TRINITY_DN10116_c0_g1_i1	TRINITY_DN1010_c2_g1_i1
TRINITY_DN10116_c2_g1_i4	TRINITY_DN101106_c1_g1_i1
TRINITY_DN101172_c0_g1_i2	TRINITY_DN10110_c0_g1_i1
TRINITY_DN10117_c0_g1_i1	TRINITY_DN10111_c0_g1_i2
TRINITY_DN10117_c0_g1_i3	TRINITY_DN10112_c0_g1_i4
TRINITY_DN101187_c0_g1_i1	TRINITY_DN10112_c0_g1_i5
TRINITY_DN10119_c0_g7_i1	TRINITY_DN10114_c0_g1_i1
TRINITY_DN10119_c0_g7_i2	TRINITY_DN10114_c0_g1_i2
TRINITY_DN10119_c1_g2_i1	TRINITY_DN10114_c0_g1_i4
TRINITY_DN10119_c1_g2_i4	TRINITY_DN10114_c0_g2_i1
TRINITY_DN1011_c0_g1_i6	TRINITY_DN101167_c0_g1_i1
TRINITY_DN1011_c0_g1_i8	TRINITY_DN101172_c0_g1_i1
TRINITY_DN1011_c0_g2_i2	TRINITY_DN101176_c0_g1_i1
TRINITY_DN101203_c0_g2_i1	TRINITY_DN10118_c0_g1_i3
TRINITY_DN101208_c0_g2_i1	TRINITY_DN10119_c0_g2_i1
TRINITY_DN10120_c0_g1_i1	TRINITY_DN1011_c0_g1_i4
TRINITY_DN10120_c0_g1_i4	TRINITY_DN1011_c0_g2_i3
TRINITY_DN10120_c0_g4_i1	TRINITY_DN101200_c0_g1_i1
TRINITY_DN10122_c0_g1_i1	TRINITY_DN101200_c0_g1_i5
TRINITY_DN10122_c2_g1_i2	TRINITY_DN101208_c0_g1_i2
TRINITY_DN10122_c4_g1_i1	TRINITY_DN10120_c0_g2_i1
TRINITY_DN101230_c0_g1_i1	TRINITY_DN10120_c1_g1_i1
TRINITY_DN10123_c0_g1_i5	TRINITY_DN10122_c0_g1_i3
TRINITY_DN10126_c0_g1_i2	TRINITY_DN10122_c0_g1_i4
TRINITY_DN101281_c0_g1_i1	TRINITY_DN10123_c0_g1_i4
TRINITY_DN10129_c0_g3_i1	TRINITY_DN101246_c0_g2_i1
TRINITY_DN101303_c0_g3_i1	TRINITY_DN10124_c0_g1_i1
TRINITY_DN10130_c0_g1_i2	TRINITY_DN10125_c0_g2_i4
TRINITY_DN101315_c0_g1_i1	TRINITY_DN101261_c4_g1_i1
TRINITY_DN101331_c0_g2_i1	TRINITY_DN10129_c0_g2_i6
TRINITY_DN10133_c0_g1_i2	TRINITY_DN1012_c0_g1_i1
TRINITY_DN10134_c0_g1_i11	TRINITY_DN1012_c0_g2_i2
TRINITY_DN10134_c0_g1_i14	TRINITY_DN101303_c3_g1_i1
TRINITY_DN10135_c0_g3_i2	TRINITY_DN10131_c0_g1_i1
TRINITY_DN10135_c0_g4_i1	TRINITY_DN10131_c0_g2_i1
TRINITY_DN10135_c2_g1_i1	TRINITY_DN10131_c0_g2_i3
TRINITY_DN10138_c0_g2_i2	TRINITY_DN10132_c0_g1_i1
TRINITY_DN10138_c1_g1_i3	TRINITY_DN101332_c0_g1_i2
TRINITY_DN101396_c0_g1_i1	TRINITY_DN10134_c0_g1_i1
TRINITY_DN1013_c0_g2_i10	TRINITY_DN10134_c0_g1_i7
TRINITY_DN1013_c0_g2_i6	TRINITY_DN10135_c0_g2_i1
TRINITY_DN1013_c0_g3_i9	TRINITY_DN101364_c1_g1_i1
TRINITY_DN10140_c0_g1_i2	TRINITY_DN10136_c0_g1_i2
TRINITY_DN101419_c0_g2_i1	TRINITY_DN101376_c2_g1_i1
TRINITY_DN10142_c0_g1_i1	TRINITY_DN101378_c0_g1_i1
TRINITY_DN101454_c1_g1_i1	TRINITY_DN10137_c0_g1_i1
TRINITY_DN101459_c0_g1_i1	TRINITY_DN101385_c0_g1_i2
TRINITY_DN10145_c0_g1_i1	TRINITY_DN10138_c0_g1_i1
TRINITY_DN101461_c0_g2_i1	TRINITY_DN10138_c0_g5_i1
TRINITY_DN10146_c0_g2_i2	TRINITY_DN10139_c0_g1_i1
TRINITY_DN10146_c0_g2_i3	TRINITY_DN1013_c0_g2_i1
TRINITY_DN10146_c0_g2_i4	TRINITY_DN1013_c0_g2_i2
TRINITY_DN10146_c0_g2_i6	TRINITY_DN1013_c0_g2_i3
TRINITY_DN10146_c0_g3_i1	TRINITY_DN1013_c0_g2_i8
TRINITY_DN101471_c0_g1_i2	TRINITY_DN1013_c0_g3_i2
TRINITY_DN10149_c0_g2_i10	TRINITY_DN1013_c0_g3_i4
TRINITY_DN10149_c0_g2_i5	TRINITY_DN1013_c0_g3_i7
TRINITY_DN10149_c0_g3_i1	TRINITY_DN1013_c0_g3_i8
TRINITY_DN1014_c0_g1_i1	TRINITY_DN1013_c16_g1_i1
TRINITY_DN1014_c0_g1_i2	TRINITY_DN101402_c0_g1_i1
TRINITY_DN101511_c0_g2_i1	TRINITY_DN101407_c0_g2_i1
TRINITY_DN101513_c0_g1_i1	TRINITY_DN101408_c0_g1_i1
TRINITY_DN10151_c0_g1_i3	TRINITY_DN101408_c0_g1_i2
TRINITY_DN10151_c0_g2_i2	TRINITY_DN101408_c0_g1_i5
TRINITY_DN10152_c0_g1_i1	TRINITY_DN10140_c0_g1_i5
TRINITY_DN101536_c0_g1_i1	TRINITY_DN10140_c0_g1_i7
TRINITY_DN10153_c0_g1_i5	TRINITY_DN10141_c0_g1_i9
TRINITY_DN10153_c0_g1_i7	TRINITY_DN10142_c0_g1_i2
TRINITY_DN10155_c0_g1_i1	TRINITY_DN101438_c0_g1_i1
TRINITY_DN101576_c0_g2_i1	TRINITY_DN101447_c0_g2_i1
TRINITY_DN10157_c0_g1_i2	TRINITY_DN10144_c0_g1_i1
TRINITY_DN10157_c0_g1_i4	TRINITY_DN101459_c0_g2_i2
TRINITY_DN10157_c0_g1_i5	TRINITY_DN101459_c0_g4_i2
TRINITY_DN101580_c0_g2_i1	TRINITY_DN101459_c1_g1_i1
TRINITY_DN10158_c0_g1_i1	TRINITY_DN10145_c0_g2_i1
TRINITY_DN10158_c0_g1_i6	TRINITY_DN10147_c0_g1_i4
TRINITY_DN10159_c0_g1_i5	TRINITY_DN10147_c0_g1_i5
TRINITY_DN1015_c0_g1_i2	TRINITY_DN10147_c0_g1_i6
TRINITY_DN1015_c1_g1_i1	TRINITY_DN10149_c0_g2_i1
TRINITY_DN1015_c1_g2_i4	TRINITY_DN10149_c0_g2_i12
TRINITY_DN10160_c0_g1_i10	TRINITY_DN10149_c0_g2_i4
TRINITY_DN10160_c1_g1_i1	TRINITY_DN10149_c0_g2_i8
TRINITY_DN10160_c2_g1_i1	TRINITY_DN10149_c0_g2_i9
TRINITY_DN10160_c3_g1_i4	TRINITY_DN10150_c0_g1_i1
TRINITY_DN101616_c0_g3_i1	TRINITY_DN10150_c0_g1_i2
TRINITY_DN101622_c0_g1_i1	TRINITY_DN10150_c0_g1_i4
TRINITY_DN10163_c2_g1_i1	TRINITY_DN10150_c0_g1_i5
TRINITY_DN10165_c0_g3_i1	TRINITY_DN101511_c0_g3_i1
TRINITY_DN10165_c1_g1_i1	TRINITY_DN10151_c0_g1_i2
TRINITY_DN10166_c0_g2_i2	TRINITY_DN10153_c0_g1_i2
TRINITY_DN10167_c0_g1_i11	TRINITY_DN10153_c0_g1_i6
TRINITY_DN10167_c0_g1_i12	TRINITY_DN101568_c0_g1_i1
TRINITY_DN10167_c0_g1_i6	TRINITY_DN101570_c0_g1_i1
TRINITY_DN10167_c4_g1_i1	TRINITY_DN101576_c0_g1_i1
TRINITY_DN101685_c0_g1_i1	TRINITY_DN101576_c0_g3_i1
TRINITY_DN1016_c0_g1_i3	TRINITY_DN10157_c1_g1_i2
TRINITY_DN1016_c0_g1_i5	TRINITY_DN10159_c0_g2_i2
TRINITY_DN10172_c0_g1_i2	TRINITY_DN1015_c0_g2_i2
TRINITY_DN101731_c0_g1_i1	TRINITY_DN1015_c1_g2_i2
TRINITY_DN10174_c0_g1_i3	TRINITY_DN1015_c1_g2_i3
TRINITY_DN101756_c0_g1_i2	TRINITY_DN10160_c0_g1_i3
TRINITY_DN10175_c1_g2_i1	TRINITY_DN10160_c0_g1_i8
TRINITY_DN101760_c0_g1_i1	TRINITY_DN10161_c0_g2_i6
TRINITY_DN101768_c0_g1_i1	TRINITY_DN10161_c0_g2_i8
TRINITY_DN10176_c0_g2_i3	TRINITY_DN10162_c0_g1_i2
TRINITY_DN10177_c0_g1_i8	TRINITY_DN10163_c0_g1_i2
TRINITY_DN101785_c0_g1_i1	TRINITY_DN10164_c0_g1_i1
