C0-V (29697 genes)	C1-V (28578 genes)
TRINITY_DN20163_c0_g3_i1	TRINITY_DN2090_c0_g1_i4
TRINITY_DN20165_c0_g1_i1	TRINITY_DN2090_c0_g3_i1
TRINITY_DN20168_c0_g2_i3	TRINITY_DN2090_c0_g3_i3
TRINITY_DN2016_c0_g1_i3	TRINITY_DN2090_c0_g4_i1
TRINITY_DN2016_c0_g1_i4	TRINITY_DN209121_c0_g3_i1
TRINITY_DN2016_c0_g1_i5	TRINITY_DN20912_c0_g1_i1
TRINITY_DN20170_c0_g1_i3	TRINITY_DN209147_c1_g1_i7
TRINITY_DN20171_c1_g1_i1	TRINITY_DN20926_c0_g1_i1
TRINITY_DN20174_c0_g2_i2	TRINITY_DN20928_c1_g1_i3
TRINITY_DN20176_c0_g1_i1	TRINITY_DN2093_c0_g1_i17
TRINITY_DN20178_c0_g1_i1	TRINITY_DN2093_c0_g1_i18
TRINITY_DN201795_c0_g1_i1	TRINITY_DN20943_c0_g4_i2
TRINITY_DN20179_c0_g1_i3	TRINITY_DN20947_c0_g1_i2
TRINITY_DN20179_c0_g1_i6	TRINITY_DN20949_c0_g3_i2
TRINITY_DN20179_c1_g1_i1	TRINITY_DN20949_c0_g4_i1
TRINITY_DN2017_c0_g5_i1	TRINITY_DN2094_c0_g1_i1
TRINITY_DN2017_c1_g1_i5	TRINITY_DN209514_c0_g2_i2
TRINITY_DN2017_c1_g1_i6	TRINITY_DN209519_c0_g1_i4
TRINITY_DN20180_c0_g1_i2	TRINITY_DN209519_c0_g1_i6
TRINITY_DN20182_c0_g2_i1	TRINITY_DN20957_c0_g4_i1
TRINITY_DN20192_c0_g1_i1	TRINITY_DN2095_c0_g1_i2
TRINITY_DN20194_c0_g1_i2	TRINITY_DN2095_c1_g1_i1
TRINITY_DN20197_c0_g2_i1	TRINITY_DN2095_c3_g3_i3
TRINITY_DN201_c0_g1_i2	TRINITY_DN2095_c5_g1_i3
TRINITY_DN201_c0_g3_i1	TRINITY_DN2095_c5_g2_i2
TRINITY_DN201_c0_g4_i1	TRINITY_DN2095_c5_g2_i3
TRINITY_DN201_c1_g2_i2	TRINITY_DN2096_c0_g3_i6
TRINITY_DN201_c1_g2_i3	TRINITY_DN20972_c0_g1_i3
TRINITY_DN201_c1_g3_i1	TRINITY_DN20983_c0_g1_i3
TRINITY_DN201_c1_g5_i3	TRINITY_DN20984_c0_g1_i1
TRINITY_DN201_c2_g2_i1	TRINITY_DN20986_c0_g1_i2
TRINITY_DN201_c3_g1_i2	TRINITY_DN20986_c0_g1_i3
TRINITY_DN20203_c0_g1_i3	TRINITY_DN20986_c0_g2_i3
TRINITY_DN20206_c0_g2_i1	TRINITY_DN20994_c0_g2_i3
TRINITY_DN20209_c0_g1_i1	TRINITY_DN20994_c0_g2_i5
TRINITY_DN20209_c0_g1_i2	TRINITY_DN20_c1_g2_i5
TRINITY_DN2020_c0_g1_i1	TRINITY_DN20_c2_g1_i3
TRINITY_DN2020_c1_g1_i2	TRINITY_DN21002_c0_g1_i1
TRINITY_DN20214_c0_g3_i4	TRINITY_DN21002_c0_g1_i5
TRINITY_DN20217_c0_g1_i2	TRINITY_DN21002_c0_g2_i1
TRINITY_DN20218_c1_g1_i1	TRINITY_DN21003_c0_g1_i2
TRINITY_DN20225_c0_g1_i12	TRINITY_DN210048_c0_g1_i1
TRINITY_DN20225_c0_g1_i3	TRINITY_DN21011_c0_g1_i1
TRINITY_DN20229_c0_g2_i3	TRINITY_DN21011_c0_g1_i5
TRINITY_DN2022_c0_g1_i1	TRINITY_DN21012_c1_g2_i1
TRINITY_DN20232_c0_g1_i3	TRINITY_DN21014_c0_g2_i1
TRINITY_DN20232_c0_g1_i6	TRINITY_DN21019_c0_g1_i8
TRINITY_DN20232_c0_g1_i7	TRINITY_DN21019_c0_g1_i9
TRINITY_DN20237_c0_g1_i1	TRINITY_DN2101_c0_g3_i2
TRINITY_DN20239_c0_g1_i1	TRINITY_DN21021_c1_g2_i1
TRINITY_DN2023_c0_g1_i1	TRINITY_DN210224_c0_g1_i1
TRINITY_DN2023_c0_g1_i7	TRINITY_DN21024_c0_g1_i1
TRINITY_DN2023_c0_g1_i8	TRINITY_DN21031_c0_g1_i3
TRINITY_DN20240_c0_g2_i1	TRINITY_DN21035_c0_g1_i3
TRINITY_DN202428_c0_g2_i3	TRINITY_DN21035_c0_g1_i4
TRINITY_DN2024_c0_g2_i10	TRINITY_DN21035_c0_g1_i5
TRINITY_DN2024_c0_g2_i4	TRINITY_DN21035_c1_g1_i4
TRINITY_DN2024_c0_g2_i6	TRINITY_DN21035_c1_g1_i8
TRINITY_DN20251_c0_g1_i1	TRINITY_DN21035_c1_g2_i1
TRINITY_DN20255_c0_g1_i2	TRINITY_DN2103_c0_g1_i3
TRINITY_DN20255_c0_g1_i4	TRINITY_DN2103_c0_g1_i6
TRINITY_DN20256_c0_g1_i1	TRINITY_DN21040_c2_g1_i1
TRINITY_DN2025_c0_g3_i3	TRINITY_DN21040_c4_g2_i4
TRINITY_DN2025_c2_g2_i1	TRINITY_DN21042_c0_g3_i1
TRINITY_DN20260_c1_g1_i2	TRINITY_DN210494_c0_g1_i1
TRINITY_DN20264_c0_g1_i4	TRINITY_DN2104_c0_g1_i1
TRINITY_DN20265_c0_g1_i5	TRINITY_DN2104_c0_g1_i9
TRINITY_DN20269_c1_g1_i1	TRINITY_DN2104_c2_g1_i1
TRINITY_DN2026_c1_g1_i2	TRINITY_DN21058_c0_g1_i2
TRINITY_DN20275_c0_g1_i1	TRINITY_DN21059_c0_g1_i6
TRINITY_DN20277_c0_g1_i3	TRINITY_DN2105_c0_g2_i1
TRINITY_DN20280_c1_g2_i2	TRINITY_DN21061_c0_g2_i1
TRINITY_DN20283_c0_g2_i1	TRINITY_DN21063_c0_g1_i1
TRINITY_DN20285_c0_g1_i3	TRINITY_DN21063_c0_g1_i3
TRINITY_DN20289_c0_g1_i5	TRINITY_DN21069_c0_g3_i1
TRINITY_DN2028_c0_g1_i8	TRINITY_DN210713_c0_g1_i1
TRINITY_DN20293_c0_g2_i2	TRINITY_DN21074_c0_g1_i3
TRINITY_DN2029_c1_g1_i2	TRINITY_DN21074_c0_g1_i9
TRINITY_DN2029_c2_g1_i12	TRINITY_DN2107_c0_g1_i4
TRINITY_DN2029_c2_g1_i25	TRINITY_DN2107_c0_g1_i7
TRINITY_DN2029_c2_g1_i9	TRINITY_DN2107_c0_g1_i8
TRINITY_DN2029_c2_g2_i1	TRINITY_DN21081_c2_g4_i1
TRINITY_DN202_c0_g1_i4	TRINITY_DN21082_c0_g1_i2
TRINITY_DN20311_c0_g3_i1	TRINITY_DN21087_c0_g3_i2
TRINITY_DN20311_c0_g5_i2	TRINITY_DN21087_c0_g3_i3
TRINITY_DN20316_c0_g1_i5	TRINITY_DN21089_c0_g1_i2
TRINITY_DN2031_c0_g1_i2	TRINITY_DN21089_c0_g1_i3
TRINITY_DN2031_c1_g1_i1	TRINITY_DN2108_c0_g3_i1
TRINITY_DN20321_c0_g1_i1	TRINITY_DN2108_c3_g1_i1
TRINITY_DN20329_c0_g1_i1	TRINITY_DN21091_c1_g2_i1
TRINITY_DN2032_c0_g1_i2	TRINITY_DN21095_c0_g1_i3
TRINITY_DN2032_c0_g1_i3	TRINITY_DN21097_c0_g1_i1
TRINITY_DN20330_c0_g1_i2	TRINITY_DN21099_c0_g1_i1
TRINITY_DN20331_c0_g1_i1	TRINITY_DN2109_c0_g1_i1
TRINITY_DN20334_c1_g1_i4	TRINITY_DN2109_c0_g1_i2
TRINITY_DN20337_c0_g1_i17	TRINITY_DN211066_c0_g1_i1
TRINITY_DN20337_c0_g1_i3	TRINITY_DN21107_c0_g1_i2
TRINITY_DN20337_c0_g1_i4	TRINITY_DN21107_c3_g2_i1
TRINITY_DN20337_c0_g1_i6	TRINITY_DN21107_c3_g2_i2
TRINITY_DN20337_c0_g1_i8	TRINITY_DN21109_c0_g1_i1
TRINITY_DN20337_c0_g2_i1	TRINITY_DN211156_c0_g1_i1
TRINITY_DN20337_c0_g3_i1	TRINITY_DN21116_c0_g1_i2
TRINITY_DN2033_c1_g1_i8	TRINITY_DN21116_c0_g1_i4
TRINITY_DN2033_c2_g1_i3	TRINITY_DN21117_c0_g2_i2
TRINITY_DN20342_c0_g1_i10	TRINITY_DN21127_c0_g2_i1
TRINITY_DN20342_c0_g1_i6	TRINITY_DN2112_c0_g1_i2
TRINITY_DN20353_c1_g1_i3	TRINITY_DN21130_c1_g1_i3
TRINITY_DN20356_c0_g1_i1	TRINITY_DN21132_c0_g1_i9
TRINITY_DN20362_c0_g1_i14	TRINITY_DN21134_c1_g3_i2
TRINITY_DN20363_c0_g1_i10	TRINITY_DN2113_c0_g1_i1
TRINITY_DN20363_c0_g1_i4	TRINITY_DN2113_c0_g1_i11
TRINITY_DN20363_c0_g1_i5	TRINITY_DN2113_c0_g1_i9
TRINITY_DN20363_c0_g1_i7	TRINITY_DN21143_c0_g1_i3
TRINITY_DN20363_c0_g1_i8	TRINITY_DN21143_c0_g1_i4
TRINITY_DN20369_c0_g1_i1	TRINITY_DN21143_c0_g1_i8
TRINITY_DN20369_c0_g1_i2	TRINITY_DN21143_c0_g1_i9
TRINITY_DN20369_c0_g2_i1	TRINITY_DN21144_c0_g1_i2
TRINITY_DN20369_c0_g2_i5	TRINITY_DN211483_c0_g1_i1
TRINITY_DN2036_c0_g1_i1	TRINITY_DN21154_c0_g1_i1
TRINITY_DN2036_c0_g1_i3	TRINITY_DN21158_c0_g1_i2
TRINITY_DN2036_c0_g1_i4	TRINITY_DN2115_c0_g1_i3
TRINITY_DN2036_c0_g1_i5	TRINITY_DN2115_c0_g3_i2
TRINITY_DN2036_c0_g2_i1	TRINITY_DN2115_c0_g3_i7
TRINITY_DN2036_c0_g3_i2	TRINITY_DN2115_c0_g4_i1
TRINITY_DN20376_c0_g2_i1	TRINITY_DN2115_c1_g1_i1
TRINITY_DN20382_c0_g1_i1	TRINITY_DN2115_c1_g2_i1
TRINITY_DN20382_c0_g1_i3	TRINITY_DN2115_c1_g2_i2
TRINITY_DN20382_c1_g1_i1	TRINITY_DN211602_c0_g1_i1
TRINITY_DN20387_c0_g2_i1	TRINITY_DN21168_c0_g2_i3
TRINITY_DN20389_c0_g1_i1	TRINITY_DN2116_c0_g3_i1
TRINITY_DN20389_c0_g1_i2	TRINITY_DN21171_c0_g1_i1
TRINITY_DN20389_c0_g1_i6	TRINITY_DN211743_c0_g1_i1
TRINITY_DN20389_c0_g1_i8	TRINITY_DN21174_c0_g1_i1
TRINITY_DN2038_c1_g1_i1	TRINITY_DN21174_c0_g1_i6
TRINITY_DN2038_c1_g1_i10	TRINITY_DN21174_c0_g1_i7
TRINITY_DN20391_c0_g3_i5	TRINITY_DN211750_c0_g1_i1
TRINITY_DN20391_c0_g3_i7	TRINITY_DN21177_c0_g1_i5
TRINITY_DN20391_c0_g5_i2	TRINITY_DN21177_c0_g1_i6
TRINITY_DN20393_c0_g1_i1	TRINITY_DN2117_c0_g1_i11
TRINITY_DN203967_c0_g1_i1	TRINITY_DN2117_c0_g1_i16
TRINITY_DN203_c0_g1_i1	TRINITY_DN21187_c0_g1_i2
TRINITY_DN20400_c0_g1_i1	TRINITY_DN21192_c0_g1_i4
TRINITY_DN20403_c0_g1_i1	TRINITY_DN21192_c0_g1_i6
TRINITY_DN204054_c0_g1_i2	TRINITY_DN21192_c0_g1_i8
TRINITY_DN20405_c0_g1_i9	TRINITY_DN211971_c0_g1_i1
TRINITY_DN20410_c0_g2_i2	TRINITY_DN21198_c0_g2_i1
TRINITY_DN20413_c0_g4_i1	TRINITY_DN2119_c0_g1_i2
TRINITY_DN20417_c0_g1_i2	TRINITY_DN2119_c0_g1_i27
TRINITY_DN20423_c0_g2_i1	TRINITY_DN2119_c0_g1_i5
TRINITY_DN20425_c0_g3_i1	TRINITY_DN211_c0_g1_i2
TRINITY_DN20426_c0_g1_i4	TRINITY_DN211_c0_g1_i5
TRINITY_DN20428_c0_g1_i3	TRINITY_DN211_c0_g2_i1
TRINITY_DN2042_c0_g2_i1	TRINITY_DN21200_c0_g1_i1
TRINITY_DN2042_c0_g2_i2	TRINITY_DN21200_c0_g1_i2
TRINITY_DN20431_c0_g1_i6	TRINITY_DN21200_c0_g1_i3
TRINITY_DN204372_c0_g1_i1	TRINITY_DN21200_c0_g1_i4
TRINITY_DN20437_c0_g1_i5	TRINITY_DN21200_c0_g1_i5
TRINITY_DN2043_c0_g1_i10	TRINITY_DN21203_c0_g2_i4
TRINITY_DN2043_c0_g1_i7	TRINITY_DN21209_c0_g1_i4
TRINITY_DN2043_c0_g3_i1	TRINITY_DN21219_c1_g1_i1
TRINITY_DN2043_c1_g2_i1	TRINITY_DN2121_c0_g1_i10
TRINITY_DN20441_c0_g1_i1	TRINITY_DN2121_c0_g1_i18
TRINITY_DN20443_c0_g4_i2	TRINITY_DN2121_c3_g1_i1
TRINITY_DN20443_c3_g1_i5	TRINITY_DN21223_c0_g1_i1
TRINITY_DN204446_c0_g1_i1	TRINITY_DN212269_c0_g1_i1
TRINITY_DN20448_c0_g1_i4	TRINITY_DN21226_c0_g1_i8
TRINITY_DN20448_c0_g1_i5	TRINITY_DN21230_c0_g1_i2
TRINITY_DN20449_c0_g1_i2	TRINITY_DN21230_c0_g1_i3
TRINITY_DN2044_c0_g1_i12	TRINITY_DN21230_c1_g1_i1
TRINITY_DN2044_c0_g3_i1	TRINITY_DN21230_c1_g1_i2
TRINITY_DN2044_c1_g1_i2	TRINITY_DN21230_c1_g1_i4
TRINITY_DN2044_c1_g1_i4	TRINITY_DN212324_c0_g1_i1
TRINITY_DN2044_c1_g1_i5	TRINITY_DN212345_c0_g1_i1
TRINITY_DN20454_c0_g1_i1	TRINITY_DN2123_c0_g1_i29
TRINITY_DN204575_c3_g1_i1	TRINITY_DN2123_c0_g1_i37
TRINITY_DN20458_c0_g1_i4	TRINITY_DN2123_c0_g1_i46
TRINITY_DN2045_c0_g2_i1	TRINITY_DN2123_c0_g1_i57
TRINITY_DN2045_c0_g2_i3	TRINITY_DN2123_c0_g2_i1
TRINITY_DN204685_c0_g1_i4	TRINITY_DN21241_c0_g1_i1
TRINITY_DN20468_c0_g1_i3	TRINITY_DN21243_c0_g1_i1
TRINITY_DN20469_c1_g1_i1	TRINITY_DN2124_c0_g1_i2
TRINITY_DN2046_c0_g2_i1	TRINITY_DN2124_c0_g2_i1
TRINITY_DN20471_c0_g1_i1	TRINITY_DN21251_c0_g1_i8
TRINITY_DN20473_c0_g1_i2	TRINITY_DN21253_c1_g1_i2
TRINITY_DN2047_c1_g1_i10	TRINITY_DN212550_c0_g1_i1
TRINITY_DN2047_c1_g1_i4	TRINITY_DN212577_c0_g1_i1
TRINITY_DN20483_c0_g1_i2	TRINITY_DN21259_c0_g2_i1
TRINITY_DN2048_c0_g1_i1	TRINITY_DN21264_c1_g1_i1
TRINITY_DN2048_c0_g2_i4	TRINITY_DN21265_c0_g1_i3
TRINITY_DN2048_c0_g3_i1	TRINITY_DN21265_c0_g2_i1
TRINITY_DN2048_c1_g1_i1	TRINITY_DN2126_c0_g1_i3
TRINITY_DN204970_c0_g1_i1	TRINITY_DN2126_c0_g2_i5
TRINITY_DN2049_c0_g1_i1	TRINITY_DN2126_c1_g1_i3
TRINITY_DN2049_c0_g1_i2	TRINITY_DN21270_c0_g1_i6
TRINITY_DN2049_c0_g1_i3	TRINITY_DN21272_c0_g1_i24
TRINITY_DN204_c0_g1_i2	TRINITY_DN21272_c0_g1_i27
TRINITY_DN204_c0_g2_i1	TRINITY_DN21272_c0_g1_i28
TRINITY_DN204_c1_g1_i4	TRINITY_DN212750_c0_g1_i1
TRINITY_DN204_c2_g1_i6	TRINITY_DN21278_c0_g1_i3
TRINITY_DN204_c5_g1_i3	TRINITY_DN21278_c0_g2_i1
TRINITY_DN204_c6_g1_i1	TRINITY_DN212793_c0_g1_i1
TRINITY_DN205000_c0_g1_i2	TRINITY_DN212798_c0_g1_i1
TRINITY_DN205033_c0_g1_i2	TRINITY_DN21280_c0_g2_i2
TRINITY_DN20509_c0_g1_i1	TRINITY_DN21281_c0_g1_i11
TRINITY_DN20512_c0_g1_i1	TRINITY_DN21287_c0_g1_i3
TRINITY_DN20513_c0_g1_i2	TRINITY_DN21287_c1_g1_i2
TRINITY_DN20515_c0_g1_i1	TRINITY_DN212897_c0_g1_i1
TRINITY_DN20515_c0_g1_i11	TRINITY_DN21289_c0_g2_i1
TRINITY_DN20515_c0_g1_i4	TRINITY_DN2128_c0_g1_i4
TRINITY_DN20515_c0_g1_i6	TRINITY_DN2128_c0_g1_i5
TRINITY_DN20515_c0_g1_i9	TRINITY_DN21291_c0_g1_i5
TRINITY_DN20515_c0_g4_i1	TRINITY_DN21292_c0_g1_i3
TRINITY_DN20517_c0_g1_i2	TRINITY_DN212934_c0_g1_i1
TRINITY_DN205181_c1_g1_i1	TRINITY_DN21293_c2_g1_i1
TRINITY_DN2051_c1_g1_i1	TRINITY_DN212972_c0_g1_i1
TRINITY_DN2051_c1_g1_i3	TRINITY_DN2129_c0_g1_i2
TRINITY_DN205238_c1_g2_i1	TRINITY_DN2129_c0_g1_i8
TRINITY_DN20531_c0_g2_i7	TRINITY_DN2129_c0_g3_i1
TRINITY_DN205329_c0_g1_i1	TRINITY_DN2129_c0_g3_i4
TRINITY_DN20536_c0_g1_i1	TRINITY_DN212_c0_g1_i1
TRINITY_DN2053_c0_g1_i1	TRINITY_DN212_c0_g1_i8
TRINITY_DN2053_c0_g1_i8	TRINITY_DN212_c0_g3_i2
TRINITY_DN2053_c1_g1_i1	TRINITY_DN212_c1_g1_i1
TRINITY_DN205401_c0_g1_i3	TRINITY_DN213064_c0_g1_i2
TRINITY_DN20542_c0_g1_i7	TRINITY_DN21308_c0_g1_i1
TRINITY_DN20543_c0_g1_i2	TRINITY_DN2130_c0_g1_i1
TRINITY_DN20545_c0_g1_i7	TRINITY_DN2130_c0_g1_i11
TRINITY_DN2054_c0_g1_i1	TRINITY_DN21316_c0_g1_i5
TRINITY_DN2054_c0_g1_i4	TRINITY_DN21316_c2_g3_i1
TRINITY_DN20553_c0_g1_i10	TRINITY_DN2131_c0_g1_i2
TRINITY_DN205547_c0_g1_i1	TRINITY_DN2131_c0_g1_i6
TRINITY_DN20559_c0_g2_i1	TRINITY_DN2131_c0_g2_i2
TRINITY_DN2055_c0_g1_i3	TRINITY_DN21322_c0_g1_i1
TRINITY_DN2055_c1_g1_i1	TRINITY_DN2132_c0_g1_i2
TRINITY_DN205608_c0_g1_i1	TRINITY_DN2132_c4_g2_i1
TRINITY_DN20560_c0_g1_i3	TRINITY_DN213335_c0_g1_i1
TRINITY_DN20568_c0_g1_i2	TRINITY_DN213395_c0_g1_i1
TRINITY_DN20568_c0_g1_i3	TRINITY_DN21339_c0_g2_i1
TRINITY_DN20568_c0_g1_i4	TRINITY_DN21339_c1_g1_i1
TRINITY_DN2056_c0_g1_i1	TRINITY_DN2133_c1_g1_i1
TRINITY_DN2056_c1_g3_i1	TRINITY_DN21346_c0_g1_i11
TRINITY_DN2057_c0_g3_i2	TRINITY_DN21346_c0_g1_i8
TRINITY_DN20580_c0_g1_i1	TRINITY_DN21349_c0_g1_i1
TRINITY_DN205853_c0_g1_i1	TRINITY_DN21349_c0_g1_i4
TRINITY_DN2058_c0_g1_i2	TRINITY_DN2134_c0_g1_i2
TRINITY_DN20590_c0_g4_i2	TRINITY_DN2134_c0_g1_i3
TRINITY_DN205942_c0_g1_i2	TRINITY_DN2134_c1_g3_i5
TRINITY_DN205984_c0_g1_i1	TRINITY_DN2134_c2_g2_i4
TRINITY_DN2059_c0_g1_i1	TRINITY_DN21351_c0_g1_i11
TRINITY_DN205_c0_g1_i3	TRINITY_DN21351_c0_g1_i16
TRINITY_DN2060_c0_g1_i18	TRINITY_DN21351_c0_g1_i17
TRINITY_DN2060_c0_g1_i22	TRINITY_DN21351_c0_g1_i8
TRINITY_DN2060_c0_g1_i3	TRINITY_DN21354_c2_g1_i2
TRINITY_DN2060_c0_g1_i5	TRINITY_DN213560_c0_g1_i1
TRINITY_DN2060_c7_g1_i1	TRINITY_DN2135_c0_g1_i13
TRINITY_DN20616_c1_g1_i5	TRINITY_DN2135_c0_g1_i7
TRINITY_DN2061_c0_g1_i1	TRINITY_DN2135_c1_g4_i1
TRINITY_DN20622_c0_g2_i1	TRINITY_DN21364_c0_g1_i1
TRINITY_DN206280_c0_g1_i1	TRINITY_DN213663_c0_g1_i1
TRINITY_DN2062_c0_g1_i6	TRINITY_DN2136_c0_g1_i2
TRINITY_DN2062_c1_g1_i1	TRINITY_DN2136_c1_g1_i3
TRINITY_DN20630_c4_g1_i1	TRINITY_DN2136_c4_g1_i1
TRINITY_DN20636_c0_g2_i2	TRINITY_DN21370_c0_g1_i1
TRINITY_DN20636_c0_g2_i8	TRINITY_DN213725_c0_g1_i1
TRINITY_DN2063_c0_g1_i1	TRINITY_DN21373_c0_g1_i1
TRINITY_DN2063_c1_g2_i3	TRINITY_DN2137_c0_g1_i3
TRINITY_DN2063_c1_g2_i5	TRINITY_DN2137_c1_g2_i1
TRINITY_DN2063_c5_g1_i1	TRINITY_DN2137_c1_g3_i1
TRINITY_DN206440_c0_g1_i3	TRINITY_DN21380_c0_g1_i1
TRINITY_DN2065_c0_g1_i1	TRINITY_DN21382_c0_g1_i1
TRINITY_DN2065_c15_g1_i1	TRINITY_DN21383_c0_g1_i4
TRINITY_DN2065_c1_g1_i1	TRINITY_DN21384_c0_g1_i4
TRINITY_DN2065_c1_g2_i1	TRINITY_DN21384_c0_g1_i6
TRINITY_DN2065_c1_g2_i3	TRINITY_DN21386_c1_g3_i2
TRINITY_DN2065_c2_g1_i3	TRINITY_DN2138_c1_g3_i1
TRINITY_DN2065_c2_g1_i4	TRINITY_DN2138_c1_g3_i2
TRINITY_DN20664_c0_g1_i3	TRINITY_DN2138_c1_g3_i3
TRINITY_DN206658_c0_g1_i1	TRINITY_DN2138_c1_g4_i2
TRINITY_DN20666_c0_g1_i1	TRINITY_DN2138_c1_g7_i1
TRINITY_DN2066_c0_g3_i1	TRINITY_DN2138_c3_g1_i4
TRINITY_DN2066_c1_g1_i1	TRINITY_DN21391_c0_g3_i3
TRINITY_DN2066_c1_g1_i2	TRINITY_DN21396_c0_g2_i1
TRINITY_DN2066_c2_g1_i3	TRINITY_DN21398_c0_g2_i1
TRINITY_DN2066_c3_g1_i2	TRINITY_DN2139_c0_g1_i2
TRINITY_DN20673_c0_g1_i4	TRINITY_DN2139_c0_g1_i8
TRINITY_DN206751_c0_g1_i1	TRINITY_DN213_c0_g1_i1
TRINITY_DN20679_c0_g1_i1	TRINITY_DN213_c0_g1_i4
TRINITY_DN2067_c0_g4_i11	TRINITY_DN213_c0_g1_i8
TRINITY_DN2067_c0_g4_i4	TRINITY_DN213_c2_g1_i2
TRINITY_DN2067_c0_g4_i8	TRINITY_DN213_c2_g3_i1
TRINITY_DN20686_c1_g2_i2	TRINITY_DN213_c3_g1_i5
TRINITY_DN20686_c1_g3_i1	TRINITY_DN21400_c0_g1_i4
TRINITY_DN20692_c0_g1_i2	TRINITY_DN21406_c0_g1_i2
TRINITY_DN20694_c1_g1_i1	TRINITY_DN21406_c0_g1_i4
TRINITY_DN206968_c0_g2_i1	TRINITY_DN21406_c0_g1_i7
TRINITY_DN2069_c0_g1_i1	TRINITY_DN21413_c2_g1_i1
TRINITY_DN2069_c0_g1_i13	TRINITY_DN214143_c0_g1_i1
TRINITY_DN2069_c0_g1_i14	TRINITY_DN214153_c0_g1_i1
TRINITY_DN2069_c0_g1_i15	TRINITY_DN21416_c0_g3_i1
TRINITY_DN2069_c0_g1_i4	TRINITY_DN21418_c0_g1_i5
TRINITY_DN2069_c0_g1_i8	TRINITY_DN21419_c0_g2_i1
TRINITY_DN2069_c0_g2_i1	TRINITY_DN2141_c0_g2_i16
TRINITY_DN2069_c0_g3_i1	TRINITY_DN2141_c0_g2_i18
TRINITY_DN2069_c1_g1_i11	TRINITY_DN2141_c0_g2_i3
TRINITY_DN2069_c1_g1_i5	TRINITY_DN2141_c0_g7_i2
TRINITY_DN2069_c2_g3_i1	TRINITY_DN2141_c0_g8_i1
TRINITY_DN206_c0_g1_i11	TRINITY_DN21424_c0_g1_i9
TRINITY_DN206_c0_g1_i8	TRINITY_DN21424_c3_g1_i3
TRINITY_DN206_c0_g3_i1	TRINITY_DN21426_c0_g1_i1
TRINITY_DN206_c1_g3_i1	TRINITY_DN21428_c0_g1_i2
TRINITY_DN206_c1_g5_i2	TRINITY_DN21428_c0_g1_i4
TRINITY_DN20700_c0_g1_i4	TRINITY_DN21428_c0_g1_i8
TRINITY_DN20708_c0_g1_i3	TRINITY_DN2142_c1_g1_i1
TRINITY_DN2070_c0_g1_i4	TRINITY_DN21432_c0_g1_i1
TRINITY_DN20712_c0_g1_i1	TRINITY_DN21437_c3_g1_i2
TRINITY_DN20712_c0_g1_i4	TRINITY_DN2143_c0_g2_i1
TRINITY_DN20712_c0_g1_i7	TRINITY_DN2143_c0_g2_i2
TRINITY_DN20717_c0_g1_i1	TRINITY_DN2143_c0_g2_i3
TRINITY_DN2071_c0_g1_i3	TRINITY_DN2143_c0_g2_i4
TRINITY_DN2071_c0_g2_i1	TRINITY_DN2143_c0_g2_i5
TRINITY_DN207217_c0_g1_i1	TRINITY_DN2143_c0_g2_i9
TRINITY_DN20722_c0_g3_i8	TRINITY_DN2143_c0_g5_i1
TRINITY_DN20723_c0_g1_i1	TRINITY_DN21440_c0_g1_i1
TRINITY_DN20727_c0_g1_i1	TRINITY_DN2144_c0_g1_i1
TRINITY_DN20728_c0_g1_i1	TRINITY_DN2144_c0_g2_i1
TRINITY_DN20729_c0_g1_i1	TRINITY_DN2144_c3_g1_i1
TRINITY_DN2072_c0_g1_i3	TRINITY_DN2144_c4_g1_i14
TRINITY_DN20730_c0_g3_i5	TRINITY_DN2144_c5_g4_i1
TRINITY_DN20730_c0_g6_i1	TRINITY_DN2144_c7_g1_i1
TRINITY_DN20731_c0_g1_i2	TRINITY_DN21450_c0_g1_i7
TRINITY_DN20738_c0_g1_i1	TRINITY_DN2145_c0_g1_i1
TRINITY_DN20739_c0_g1_i1	TRINITY_DN2145_c0_g4_i1
TRINITY_DN20739_c0_g1_i6	TRINITY_DN21460_c0_g1_i1
TRINITY_DN20740_c1_g1_i1	TRINITY_DN21462_c0_g1_i1
TRINITY_DN20740_c1_g2_i1	TRINITY_DN21464_c0_g1_i11
TRINITY_DN20745_c1_g1_i1	TRINITY_DN21464_c1_g2_i2
TRINITY_DN20746_c0_g1_i4	TRINITY_DN21466_c0_g1_i1
TRINITY_DN20746_c0_g2_i1	TRINITY_DN214689_c0_g1_i1
TRINITY_DN2074_c1_g2_i1	TRINITY_DN21469_c0_g1_i5
TRINITY_DN2074_c1_g2_i2	TRINITY_DN21469_c0_g1_i8
TRINITY_DN2074_c1_g4_i3	TRINITY_DN2146_c0_g1_i2
TRINITY_DN207507_c0_g1_i2	TRINITY_DN2146_c0_g1_i3
TRINITY_DN20750_c0_g1_i2	TRINITY_DN2146_c0_g1_i6
TRINITY_DN20757_c0_g1_i2	TRINITY_DN214713_c0_g1_i2
TRINITY_DN20758_c0_g1_i1	TRINITY_DN21472_c0_g3_i2
TRINITY_DN20759_c0_g1_i1	TRINITY_DN21475_c0_g2_i1
TRINITY_DN20762_c0_g1_i4	TRINITY_DN21477_c0_g2_i6
TRINITY_DN2076_c0_g1_i5	TRINITY_DN2147_c0_g1_i8
TRINITY_DN2076_c1_g1_i1	TRINITY_DN21481_c0_g1_i1
TRINITY_DN2076_c1_g1_i2	TRINITY_DN21481_c0_g1_i4
