transcript_id TPM FPKM fold.change log2.FC
TRINITY_DN10867_c0_g3_i1 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN108706_c0_g2_i2 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN108786_c0_g1_i1 0.03 0.02 0.0144193198018022 -6.11585307940627
TRINITY_DN10890_c0_g1_i14 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN108911_c0_g1_i1 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN10911_c0_g1_i1 0.03 0.02 0.0144193198018022 -6.11585307940627
TRINITY_DN10970_c0_g1_i12 0.03 0.02 0.0144193198018022 -6.11585307940627
TRINITY_DN10986_c0_g4_i1 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN10987_c0_g4_i4 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN10987_c0_g4_i6 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN109891_c0_g1_i1 0.05 0.03 0.0240321996696703 -5.37888748524006
TRINITY_DN110434_c0_g1_i1 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN11048_c0_g1_i40 0.03 0.02 0.0144193198018022 -6.11585307940627
TRINITY_DN1104_c0_g1_i4 0.02 0.02 0.00961287986786811 -6.70081558012742
TRINITY_DN1104_c1_g1_i7 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN11096_c0_g2_i4 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN11107_c0_g1_i11 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN11107_c0_g1_i2 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN111490_c0_g1_i1 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN111662_c0_g2_i1 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN11169_c0_g1_i12 0.05 0.03 0.0240321996696703 -5.37888748524006
TRINITY_DN11171_c0_g2_i5 0.02 0.01 0.00961287986786811 -6.70081558012742
TRINITY_DN11191_c0_g1_i2 0.01 0.01 0.00480643993393406 -7.70081558012742
TRINITY_DN11196_c3_g1_i2 0.03 0.02 0.0144193198018022 -6.11585307940627
TRINITY_DN1120_c0_g1_i8 0.01 0.01 0.00480643993393406 -7.70081558012742
TRINITY_DN112141_c0_g1_i1 0.04 0.03 0.0192257597357362 -5.70081558012742
TRINITY_DN112478_c0_g1_i1 0.05 0.04 0.0240321996696703 -5.37888748524006
TRINITY_DN11249_c2_g1_i1 0.03 0.02 0.0144193198018022 -6.11585307940627
TRINITY_DN112887_c0_g2_i1 0.04 0.03 0.0192257597357362 -5.70081558012742
