transcript_id TPM FPKM fold.change log2.FC
TRINITY_DN117859_c0_g3_i1 0.02 0.01 0.0111817145683341 -6.48271476639002
TRINITY_DN11785_c0_g2_i7 0.04 0.03 0.0223634291366682 -5.48271476639002
TRINITY_DN117878_c0_g1_i3 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN11832_c0_g1_i2 0.02 0.02 0.0111817145683341 -6.48271476639002
TRINITY_DN11871_c0_g1_i6 0.02 0.01 0.0111817145683341 -6.48271476639002
TRINITY_DN11895_c2_g2_i1 0.04 0.03 0.0223634291366682 -5.48271476639002
TRINITY_DN119107_c0_g1_i1 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN119175_c0_g3_i1 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN11927_c0_g1_i19 0.01 0.01 0.00559085728416705 -7.48271476639002
TRINITY_DN11927_c0_g1_i2 0.02 0.01 0.0111817145683341 -6.48271476639002
TRINITY_DN11967_c0_g1_i1 0.04 0.02 0.0223634291366682 -5.48271476639002
TRINITY_DN12002_c0_g1_i10 0.04 0.03 0.0223634291366682 -5.48271476639002
TRINITY_DN12002_c1_g2_i1 0.04 0.03 0.0223634291366682 -5.48271476639002
TRINITY_DN1200_c0_g1_i28 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN120333_c0_g3_i1 0.04 0.03 0.0223634291366682 -5.48271476639002
TRINITY_DN1203_c0_g1_i7 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN12085_c0_g1_i11 0.04 0.02 0.0223634291366682 -5.48271476639002
TRINITY_DN12085_c0_g1_i12 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN121133_c0_g1_i1 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN1216_c0_g1_i7 0.04 0.02 0.0223634291366682 -5.48271476639002
TRINITY_DN12225_c0_g1_i12 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN12236_c0_g1_i1 0.02 0.01 0.0111817145683341 -6.48271476639002
TRINITY_DN122971_c0_g2_i1 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN12319_c0_g1_i3 0.02 0.01 0.0111817145683341 -6.48271476639002
TRINITY_DN12334_c0_g1_i12 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN1233_c0_g1_i4 0.02 0.01 0.0111817145683341 -6.48271476639002
TRINITY_DN125344_c0_g1_i8 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN126167_c0_g1_i1 0.04 0.03 0.0223634291366682 -5.48271476639002
TRINITY_DN12640_c0_g1_i1 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN12698_c0_g1_i6 0.04 0.03 0.0223634291366682 -5.48271476639002
TRINITY_DN12714_c0_g4_i3 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN127460_c0_g1_i3 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN1278_c0_g2_i8 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN12840_c0_g1_i9 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN12848_c0_g1_i12 0.04 0.02 0.0223634291366682 -5.48271476639002
TRINITY_DN12864_c0_g1_i1 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN128825_c0_g1_i6 0.04 0.02 0.0223634291366682 -5.48271476639002
TRINITY_DN12882_c0_g1_i2 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN12934_c0_g1_i15 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN12934_c0_g1_i22 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN12985_c0_g1_i12 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN130244_c0_g1_i2 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN13059_c3_g2_i1 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN13067_c0_g1_i1 0.04 0.02 0.0223634291366682 -5.48271476639002
TRINITY_DN13089_c0_g1_i8 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN13092_c0_g1_i7 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN13101_c0_g1_i10 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN13168_c0_g1_i5 0.02 0.01 0.0111817145683341 -6.48271476639002
TRINITY_DN131738_c0_g1_i3 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN13198_c0_g1_i1 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN13212_c0_g1_i11 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN1321_c0_g1_i3 0.03 0.02 0.0167725718525011 -5.89775226566886
TRINITY_DN132363_c0_g1_i2 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN13247_c0_g1_i6 0.01 0.01 0.00559085728416705 -7.48271476639002
TRINITY_DN13247_c0_g1_i8 0.02 0.01 0.0111817145683341 -6.48271476639002
TRINITY_DN1326_c0_g1_i15 0.04 0.02 0.0223634291366682 -5.48271476639002
TRINITY_DN13300_c0_g1_i1 0.04 0.02 0.0223634291366682 -5.48271476639002
TRINITY_DN13300_c0_g4_i1 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN13314_c0_g1_i2 0.05 0.03 0.0279542864208352 -5.16078667150266
TRINITY_DN13317_c1_g1_i5 0.05 0.03 0.0279542864208352 -5.16078667150266
