transcript_id TPM FPKM fold.change log2.FC
TRINITY_DN10971_c0_g1_i16 0.02 0.02 0.0114763512700399 -6.44519215763351
TRINITY_DN10986_c0_g4_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN10987_c0_g3_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN10987_c0_g4_i5 0.04 0.03 0.0229527025400799 -5.44519215763351
TRINITY_DN10987_c0_g4_i6 0.03 0.02 0.0172145269050599 -5.86022965691236
TRINITY_DN110233_c0_g1_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN110347_c0_g1_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN11041_c0_g1_i4 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN11048_c0_g1_i30 0.03 0.03 0.0172145269050599 -5.86022965691236
TRINITY_DN110916_c0_g1_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN11107_c0_g1_i2 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN111175_c0_g1_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN111490_c0_g1_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN111630_c0_g1_i4 0.03 0.03 0.0172145269050599 -5.86022965691236
TRINITY_DN111885_c0_g1_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN111951_c0_g2_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN111999_c0_g2_i1 0.04 0.03 0.0229527025400799 -5.44519215763351
TRINITY_DN1120_c0_g1_i8 0.04 0.03 0.0229527025400799 -5.44519215763351
TRINITY_DN112718_c0_g1_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN11304_c0_g2_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN113638_c0_g4_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN113638_c3_g1_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN113705_c0_g1_i1 0.03 0.03 0.0172145269050599 -5.86022965691236
TRINITY_DN113884_c0_g1_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN114060_c0_g2_i1 0.04 0.03 0.0229527025400799 -5.44519215763351
TRINITY_DN114290_c0_g2_i1 0.04 0.03 0.0229527025400799 -5.44519215763351
TRINITY_DN1142_c0_g1_i2 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN11476_c0_g2_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN114839_c0_g1_i5 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN115101_c1_g1_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN11518_c0_g1_i3 0.03 0.03 0.0172145269050599 -5.86022965691236
TRINITY_DN115274_c0_g1_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN1152_c0_g2_i2 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN11540_c0_g1_i22 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN11560_c0_g1_i13 0.01 0.01 0.00573817563501997 -7.44519215763351
TRINITY_DN115721_c0_g1_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN11595_c0_g1_i6 0.01 0.01 0.00573817563501997 -7.44519215763351
TRINITY_DN115_c0_g1_i1 0.01 0.01 0.00573817563501997 -7.44519215763351
TRINITY_DN115_c0_g1_i4 0.03 0.02 0.0172145269050599 -5.86022965691236
TRINITY_DN11648_c0_g1_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN11653_c0_g1_i2 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN11659_c0_g1_i10 0.03 0.02 0.0172145269050599 -5.86022965691236
TRINITY_DN11663_c0_g1_i9 0.01 0.01 0.00573817563501997 -7.44519215763351
TRINITY_DN11671_c1_g1_i2 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN11680_c0_g1_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN11695_c1_g1_i2 0.04 0.03 0.0229527025400799 -5.44519215763351
TRINITY_DN117130_c0_g1_i1 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN117147_c0_g1_i3 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN117859_c0_g3_i1 0.02 0.02 0.0114763512700399 -6.44519215763351
TRINITY_DN11882_c0_g1_i13 0.02 0.02 0.0114763512700399 -6.44519215763351
TRINITY_DN11882_c0_g1_i19 0.01 0.01 0.00573817563501997 -7.44519215763351
TRINITY_DN1189_c0_g1_i3 0.03 0.03 0.0172145269050599 -5.86022965691236
TRINITY_DN11927_c0_g1_i2 0.03 0.02 0.0172145269050599 -5.86022965691236
TRINITY_DN12002_c0_g1_i10 0.03 0.03 0.0172145269050599 -5.86022965691236
TRINITY_DN1200_c0_g1_i15 0.01 0.01 0.00573817563501997 -7.44519215763351
TRINITY_DN1200_c0_g1_i28 0.01 0.01 0.00573817563501997 -7.44519215763351
TRINITY_DN1201_c8_g1_i2 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN12073_c0_g1_i4 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN12082_c0_g1_i3 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN12087_c0_g1_i6 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN1209_c0_g1_i10 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN1219_c0_g2_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN1222_c0_g1_i13 0.02 0.02 0.0114763512700399 -6.44519215763351
TRINITY_DN12238_c2_g2_i6 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN12240_c1_g2_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN122614_c0_g1_i1 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN12262_c0_g1_i6 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN12262_c0_g1_i8 0.02 0.02 0.0114763512700399 -6.44519215763351
TRINITY_DN12274_c0_g1_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN12308_c1_g1_i16 0.04 0.04 0.0229527025400799 -5.44519215763351
TRINITY_DN1230_c0_g1_i13 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN12334_c0_g1_i21 0.05 0.04 0.0286908781750999 -5.12326406274615
TRINITY_DN123779_c1_g1_i1 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN123_c0_g2_i2 0.05 0.05 0.0286908781750999 -5.12326406274615
TRINITY_DN12408_c0_g1_i17 0.01 0.01 0.00573817563501997 -7.44519215763351
