transcript_id TPM FPKM fold.change log2.FC
TRINITY_DN112236_c0_g2_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN11249_c2_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN112557_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN11283_c0_g1_i6 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN113010_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN11334_c0_g2_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN11386_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN113941_c0_g1_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN114123_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN114251_c0_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN114957_c0_g1_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN114995_c0_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN11511_c0_g1_i2 0.01 0.01 0.00660198886013278 -7.24288358043135
TRINITY_DN1152_c0_g1_i10 0.02 0.01 0.0132039777202656 -6.24288358043135
TRINITY_DN11554_c0_g1_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN115_c0_g1_i17 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN115_c0_g1_i2 0.01 0.01 0.00660198886013278 -7.24288358043135
TRINITY_DN115_c0_g1_i5 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN115_c0_g1_i8 0.02 0.01 0.0132039777202656 -6.24288358043135
TRINITY_DN116145_c0_g1_i2 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN11648_c0_g1_i10 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN116839_c1_g1_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN11713_c0_g1_i7 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN11766_c0_g1_i1 0.02 0.01 0.0132039777202656 -6.24288358043135
TRINITY_DN117674_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN11822_c0_g1_i6 0.01 0.01 0.00660198886013278 -7.24288358043135
TRINITY_DN11830_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN11883_c0_g1_i4 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN118880_c0_g2_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN11895_c2_g2_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN11927_c0_g1_i2 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN119507_c1_g2_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN11972_c0_g1_i14 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN11986_c0_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN12002_c0_g1_i10 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN120266_c0_g2_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN120333_c0_g3_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN120610_c1_g1_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN12085_c0_g1_i12 0.02 0.01 0.0132039777202656 -6.24288358043135
TRINITY_DN1216_c0_g2_i2 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN12262_c0_g1_i6 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN12262_c0_g1_i8 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN122751_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN123105_c3_g2_i1 0.02 0.01 0.0132039777202656 -6.24288358043135
TRINITY_DN12319_c0_g1_i2 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN12319_c0_g1_i5 0.01 0 0.00660198886013278 -7.24288358043135
TRINITY_DN123352_c0_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN12335_c0_g1_i4 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN12348_c0_g1_i14 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN12348_c0_g1_i25 0.01 0.01 0.00660198886013278 -7.24288358043135
TRINITY_DN12348_c0_g1_i6 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN12421_c0_g1_i5 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN12442_c0_g2_i5 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN124445_c0_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN12454_c0_g2_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN124758_c0_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN12491_c0_g1_i2 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN12502_c0_g1_i4 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN12605_c0_g4_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
